Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
1,8766,5,13.3148,2,25,0.007725
1,8766,10,9.1876,2,25,0.007725
1,8766,15,8.7461,2,25,2.0504
1,8766,20,6.388,2,25,2.6385
1,8766,25,7.4533,2,25,3.0508
1,8766,30,5.7193,2,25,3.3285
1,8766,35,4.8951,2,25,5.4157
1,8766,40,5.2559,2,25,6.0174
1,8766,45,6.0856,2,25,8.0439
1,8766,50,4.6439,2,25,8.3389
1,8766,55,3.2281,2,25,8.3389
1,8766,60,3.2787,2,25,8.5116
1,8766,65,4.175,2,25,8.5116
1,8766,70,3.1079,2,25,8.5116
1,8766,75,3.2667,2,25,8.9252
1,8766,80,1.6781,2,25,9.0023
1,8766,85,2.109,2,25,9.7389
1,8766,90,1.6638,2,25,9.7389
1,8766,95,1.6605,2,25,9.7389
1,8766,100,1.7492,2,25,9.7389
1,8766,105,1.7441,2,25,9.7577
1,8766,110,1.7322,2,25,9.8953
1,8766,115,1.7363,2,25,9.963
1,8766,120,1.7078,2,25,9.963
1,8766,125,1.8745,2,25,9.963
2,3731,5,7.0298,2,25,0.008448
2,3731,10,8.7318,2,25,0.0379
2,3731,15,6.4019,2,25,0.1591
2,3731,20,6.0743,2,25,1.6432
2,3731,25,3.7353,2,25,2.4855
2,3731,30,4.8341,2,25,2.4855
2,3731,35,4.3411,2,25,2.4855
2,3731,40,6.6315,2,25,4.7584
2,3731,45,3.3861,2,25,4.7584
2,3731,50,4.6702,2,25,4.7584
2,3731,55,4.8162,2,25,4.7584
2,3731,60,5.2525,2,25,4.7584
2,3731,65,4.1381,2,25,5.9659
2,3731,70,4.523,2,25,6.9023
2,3731,75,4.8844,2,25,6.9023
2,3731,80,4.3541,2,25,7.0189
2,3731,85,4.6658,2,25,7.8796
2,3731,90,3.3273,2,25,8.5186
2,3731,95,4.344,2,25,8.5186
2,3731,100,3.2923,2,25,8.7456
2,3731,105,2.8896,2,25,8.9131
2,3731,110,3.449,2,25,9.4774
2,3731,115,2.4292,2,25,9.4774
2,3731,120,2.9147,2,25,9.704
2,3731,125,2.7117,2,25,9.7494
3,8071,5,12.4334,2,25,0.0189
3,8071,10,12.4467,2,25,0.0189
3,8071,15,6.4805,2,25,0.8457
3,8071,20,6.2551,2,25,0.8457
3,8071,25,5.8694,2,25,1.0842
3,8071,30,6.0604,2,25,1.0842
3,8071,35,4.8057,2,25,3.747
3,8071,40,5.012,2,25,3.8275
3,8071,45,4.5955,2,25,8.1388
3,8071,50,4.2879,2,25,8.3567
3,8071,55,4.1603,2,25,8.3567
3,8071,60,4.7909,2,25,8.4009
3,8071,65,4.4104,2,25,8.9486
3,8071,70,5.3801,2,25,9.0635
3,8071,75,5.8177,2,25,9.3141
3,8071,80,4.4817,2,25,9.3141
3,8071,85,3.622,2,25,9.4954
3,8071,90,3.1812,2,25,9.527
3,8071,95,6.4112,2,25,9.651
3,8071,100,5.9048,2,25,9.7582
3,8071,105,4.9621,2,25,9.8607
3,8071,110,4.9238,2,25,9.8607
3,8071,115,4.6123,2,25,9.8836
3,8071,120,4.3616,2,25,9.9127
3,8071,125,4.4213,2,25,9.9127
4,1579,5,13.5518,2,25,0.0419
4,1579,10,8.613,2,25,0.6962
4,1579,15,7.2128,2,25,2.1248
4,1579,20,6.3835,2,25,2.3235
4,1579,25,8.0853,2,25,3.368
4,1579,30,9.8615,2,25,4.1472
4,1579,35,6.0265,2,25,4.669
4,1579,40,5.7515,2,25,5.5015
4,1579,45,5.2416,2,25,6.6526
4,1579,50,4.1071,2,25,7.8704
4,1579,55,4.9105,2,25,8.2762
4,1579,60,3.2427,2,25,8.8611
4,1579,65,3.9699,2,25,9.1574
4,1579,70,3.6277,2,25,9.2092
4,1579,75,3.2909,2,25,9.6666
4,1579,80,2.088,2,25,9.6666
4,1579,85,2.4367,2,25,9.6934
4,1579,90,2.8072,2,25,9.7284
4,1579,95,1.73,2,25,9.7284
4,1579,100,1.6955,2,25,9.7284
4,1579,105,1.6568,2,25,9.8788
4,1579,110,1.5298,2,25,9.8788
4,1579,115,1.6957,2,25,9.8788
4,1579,120,1.8302,2,25,9.9066
4,1579,125,2.0721,2,25,9.9066
5,992,5,9.3985,2,25,0.0276
5,992,10,7.273,2,25,0.0907
5,992,15,5.8848,2,25,0.7094
5,992,20,5.7375,2,25,0.8829
5,992,25,5.0492,2,25,2.2644
5,992,30,5.6045,2,25,2.701
5,992,35,4.9739,2,25,4.9009
5,992,40,5.4771,2,25,4.914
5,992,45,5.2225,2,25,4.914
5,992,50,5.2377,2,25,4.98
5,992,55,3.0158,2,25,5.7798
5,992,60,3.2673,2,25,7.1462
5,992,65,3.4561,2,25,7.1462
5,992,70,3.9807,2,25,7.4663
5,992,75,4.6979,2,25,7.4663
5,992,80,4.6854,2,25,7.8992
5,992,85,3.3948,2,25,7.8992
5,992,90,2.8502,2,25,8.0909
5,992,95,2.8902,2,25,8.4709
5,992,100,2.8888,2,25,8.7909
5,992,105,2.852,2,25,8.9103
5,992,110,2.8121,2,25,9.6555
5,992,115,2.8594,2,25,9.726
5,992,120,2.7137,2,25,9.726
5,992,125,2.6885,2,25,9.7324
6,542,5,16.4729,2,25,4.232E-5
6,542,10,9.4895,2,25,0.0495
6,542,15,9.1864,2,25,0.2065
6,542,20,8.5696,2,25,2.8807
6,542,25,6.7155,2,25,2.9194
6,542,30,6.654,2,25,3.6956
6,542,35,6.1124,2,25,3.6956
6,542,40,6.7504,2,25,6.199
6,542,45,5.2254,2,25,7.3066
6,542,50,5.6205,2,25,8.11
6,542,55,3.3502,2,25,8.11
6,542,60,4.1113,2,25,8.11
6,542,65,3.5165,2,25,8.1749
6,542,70,3.405,2,25,8.2511
6,542,75,2.6718,2,25,9.132
6,542,80,3.6827,2,25,9.132
6,542,85,2.3732,2,25,9.3172
6,542,90,2.0184,2,25,9.3268
6,542,95,2.0387,2,25,9.4189
6,542,100,1.9529,2,25,9.5921
6,542,105,1.4629,2,25,9.7866
6,542,110,1.4724,2,25,9.9121
6,542,115,1.4593,2,25,9.9121
6,542,120,1.4103,2,25,9.9121
6,542,125,1.3355,2,25,9.9121
7,1740,5,10.6533,2,25,6.431E-4
7,1740,10,8.9703,2,25,0.3688
7,1740,15,8.2375,2,25,0.4165
7,1740,20,4.9207,2,25,0.9318
7,1740,25,6.2807,2,25,4.8215
7,1740,30,5.0313,2,25,7.2994
7,1740,35,5.6666,2,25,7.2994
7,1740,40,4.7489,2,25,7.2994
7,1740,45,6.5407,2,25,7.2994
7,1740,50,4.5766,2,25,7.2994
7,1740,55,4.0647,2,25,7.2994
7,1740,60,3.9125,2,25,7.2994
7,1740,65,3.8385,2,25,7.2994
7,1740,70,4.0154,2,25,7.5008
