Run,Seed,Final Score
1,5135,4.471574963929993
2,1292,8.923594515566219
3,2072,6.725868301306457
4,8831,3.172787558232976
5,2002,3.308747368226884
6,9078,8.903276007203104
7,726,8.200443845795727
8,3990,6.085255697156136
9,2930,9.255962050951913
10,4298,7.571083756615571
11,1775,4.506342376590904
12,448,5.9777599126389465
13,8669,3.964301828995167
14,9802,8.727883658623337
15,1598,6.055237306461639
16,2866,3.210520050120757
17,8575,5.8858959304209915
18,3047,7.32017684256498
19,7141,6.1330643532241815
20,4470,2.098951435071468
21,2056,8.865268083526681
22,2658,5.829134118687853
23,8477,7.036162235715374
24,6794,4.7407520316380385
25,6146,6.972520479565258
26,3647,6.874929113373739
27,3552,6.056558442948195
28,9546,5.51751058808593
29,7583,6.445302118626318
30,6703,2.570741526621021
31,728,9.138806648144168
32,2046,5.680492964993059
33,3220,1.788350409956432
34,2042,9.695952338378303
35,3781,9.728850943833166
36,8787,5.397342224473717
37,3735,2.8813053491590574
38,4334,8.120371146792948
39,6945,6.6190091509402516
40,9323,8.915062244629018
41,5994,6.159935436428659
42,1322,7.241816656509616
43,1604,9.701268149803033
44,6276,8.940200667648599
45,5989,4.579718216677165
46,3897,8.892250304024657
47,358,9.15682660127184
48,1496,5.6373869120912286
49,9685,9.753189384235451
50,5167,2.504589438349871
51,5160,0.42665002617908876
52,9882,9.734985017808974
53,470,5.004993820316331
54,1813,9.513816679884721
55,9073,7.339475576495012
56,7484,9.675895009490379
57,7153,4.1385732071676165
58,356,3.5094777364424794
59,681,9.124962678086668
60,7888,9.184535618037138
61,6294,9.53578518935757
62,7619,3.434110449155096
63,7752,7.256258627896729
64,100,5.232372276601627
65,3881,6.492206767942754
66,6481,8.84710663985754
67,2124,9.718452714890297
68,6381,5.250642956957247
69,4428,7.086424569264665
70,2818,8.831515230798635
71,6268,4.995912684306891
72,1743,7.52815740816414
73,3935,5.723002364354583
74,9641,8.681343469334346
75,9472,8.895466798840207
76,3842,7.611207292873817
77,1210,2.3544900692776642
78,6649,6.5755369367666505
79,2124,9.718452714890297
80,5749,3.842379875632178
81,5687,5.81948617690993
82,2892,3.974130637180312
83,1872,8.923815269750907
84,9726,5.921026146438506
85,7952,3.849769412489257
86,5680,6.098176983422439
87,8145,4.650692170040044
88,9417,5.673526423123832
89,3419,2.9858647420960827
90,8980,9.095343923277207
91,9894,8.87066496842012
92,2557,0.34631302999656693
93,727,6.654544934538912
94,1830,5.719286629361959
95,5010,5.9775323562696805
96,8252,4.749517778550418
97,9317,4.9922741981958225
98,6442,9.057690405542978
99,6628,8.824109869424062
100,4771,9.712621092120008
