Run,Seed,Final Score
1,6391,5.255374702726928
2,1835,8.157654604013691
3,3360,7.152914643298384
4,4960,8.719949529147984
5,7115,9.705844354313832
6,6360,8.64668128346753
7,7094,5.343777978250868
8,7763,2.409989254054878
9,2744,3.44601282656672
10,240,2.637489333330645
11,9068,8.94107491295268
12,4711,7.237739541980376
13,77,8.693445467692847
14,6668,6.9992196713788335
15,2584,4.958380106820625
16,8167,7.066305078658771
17,7661,9.06305665727934
18,1460,8.15739712132504
19,9708,0.402899543503773
20,2778,7.836478298943391
21,6867,2.843765229101777
22,4344,9.072569264768134
23,4662,7.229634531530537
24,6092,8.702756739390104
25,7910,3.3482753297328043
26,3389,5.365864559299728
27,2744,3.44601282656672
28,2173,7.460330673837287
29,3610,3.8339768347396577
30,7959,5.087109032663203
31,1064,2.8355793106244587
32,5228,5.822083382393746
33,7531,6.254062653250823
34,3947,6.99674265873912
35,1064,2.8355793106244587
36,6385,4.744974071541363
37,5258,3.7322005488184242
38,49,8.902203706662995
39,5267,1.7792454944702971
40,2173,7.460330673837287
41,8854,4.474493456025074
42,9483,5.196039129856106
43,2700,9.682787626589292
44,6130,9.775080163655952
45,4329,7.537628241966493
46,9113,5.3078080128354035
47,3094,8.036187670211811
48,1650,7.036132068312259
49,5560,4.960095212215616
50,8232,8.931888039517196
51,4946,9.0180013727844
52,713,8.935075569404868
53,6616,8.672214026518866
54,7295,9.708843896246558
55,3084,8.70181588303128
56,7849,6.069052035893031
57,1040,6.503994441384798
58,6055,8.779201944290788
59,8661,8.685717860840272
60,8281,9.699645068435363
61,8338,2.0543501112363223
62,8653,5.364589250277838
63,447,5.440277793332184
64,5293,6.010568287530052
65,9433,7.250747946641831
66,8937,4.638295323599738
67,8650,6.992050627817186
68,4532,9.19982223950837
69,1522,0.8000472358607227
70,4187,1.5972678444078336
71,6465,5.146279030246619
72,3683,6.536852117005227
73,9626,3.003292173684129
74,6075,6.580541001289886
75,9779,3.2743066086624784
76,309,6.6284476923904565
77,9564,8.141154618133191
78,9149,6.145236139748543
79,4259,0.53376114775236
80,8879,5.516780028605539
81,871,9.728933143939596
82,4182,6.523899193813859
83,5775,8.66379029003954
84,3813,1.4196197763072738
85,4416,5.690520555574555
86,2642,9.698399128719217
87,2768,0.8643929259685217
88,6783,4.2326748234101155
89,3677,9.169615839482818
90,1313,8.887334522119527
91,7766,8.165690184277814
92,4472,6.442880151927367
93,2892,8.770438816420377
94,6742,3.1966057509905177
95,9857,5.7413092321719805
96,7820,7.3584760901999875
97,5991,9.291352949379938
98,2349,6.739037604634182
99,1503,3.6985109838169308
100,1872,9.718031704183854
