Run,Seed,Final Score
1,3994,8.867870950476043
2,8751,8.92964668472658
3,8561,6.465241498270238
4,301,5.148357875499725
5,2386,1.2296926937039683
6,2106,2.373189932920631
7,2336,9.698263757061046
8,1464,6.02796942743204
9,3587,8.693569703904306
10,6483,7.984408270729424
11,4449,5.63190000073787
12,54,8.659977921369368
13,73,6.553708850207256
14,9634,7.285571885477279
15,36,6.190775130247371
16,7192,6.21626140158061
17,6497,2.978704902561931
18,7799,6.112654827986775
19,1425,9.113948932380742
20,1091,9.346998904792073
21,8472,7.543949910011448
22,1130,8.65228470844841
23,5707,5.443321789642614
24,9359,8.789512048535595
25,6616,6.071878419671508
26,4943,6.501191450953443
27,2257,6.269367752587323
28,4341,8.866908866218985
29,8403,7.289060569847463
30,5836,7.122444465602874
31,1028,4.427469126291987
32,5078,4.446868689869926
33,8539,6.9537994174085815
34,2314,4.7323285019833925
35,4908,6.116343517078569
36,7386,5.918592574650009
37,7479,4.428508149139875
38,1565,9.72967448314612
39,2313,8.898648745298205
40,9919,5.851217687181024
41,7877,5.954223563401301
42,1748,4.934486946505252
43,6891,9.082032150238769
44,6798,5.959228415989029
45,2447,6.788709462151788
46,5726,8.953458188751103
47,3264,7.561388826603743
48,6844,4.970464080817921
49,6240,6.5173578899899915
50,2227,9.150814299508776
51,5969,3.848412550695832
52,3206,8.950596029790187
53,3588,7.072666751362696
54,4349,6.6109706712107705
55,4251,8.611828436903371
56,810,5.919540112364224
57,2737,5.118004582703327
58,8043,6.061909712238439
59,5694,3.7464731337983412
60,357,8.885028757551565
61,6086,6.373402606413876
62,2148,7.5000738577187605
63,3031,3.7447294817122363
64,1200,7.2300316842998535
65,4152,8.849222303527755
66,4779,8.090029053022953
67,2382,2.679599460292646
68,921,8.7625748985881
69,5623,9.715522304572042
70,9959,7.5491982925877625
71,7983,6.5541429455383335
72,6546,5.72212468091206
73,2098,6.884924091161672
74,352,2.5694329916120977
75,4152,8.849222303527755
76,3516,4.984738094261909
77,4943,6.501191450953443
78,2777,5.9627507411834335
79,7864,4.339397139258698
80,4306,9.193162907136523
81,3928,5.548625432354135
82,3423,9.71886266260989
83,2482,4.438931206471565
84,2470,4.793277579840454
85,4022,5.5259984435495815
86,1765,5.36347398755859
87,8548,6.4132338011582934
88,3548,5.618855492946637
89,2767,7.130832503682419
90,5629,8.217289853360851
91,6890,5.3401923899962345
92,2184,9.10436924137771
93,9519,8.558289954197594
94,9639,0.6434860563244884
95,129,5.0142715646027085
96,4839,4.981233304914105
97,232,9.70166506428622
98,6265,8.649971064223699
99,7228,3.7821494516602048
100,1024,9.166945091398071
