Run,Seed,Final Score
1,4972,8.655098705760377
2,9365,9.439898240284473
3,3588,6.954801883094285
4,2312,6.376701407700032
5,8462,5.82984289932852
6,1487,9.427209762028767
7,570,8.66869606884782
8,2927,9.664116532086641
9,2665,8.840198058338418
10,2357,7.638812279591823
11,7693,5.01244981820842
12,6416,6.818873471973613
13,8456,8.659914749748935
14,2209,8.805702855673124
15,1529,8.769335960854933
16,8793,8.989705924304406
17,4472,6.78003609849134
18,5607,9.703648232546772
19,7457,9.645819780042368
20,4068,9.596279517006673
21,2899,9.595374846489339
22,5674,8.84369663814714
23,1663,6.659861761431367
24,9443,8.82966284434862
25,1630,7.490095262138033
26,7409,8.910703721936763
27,8008,8.551746961107847
28,3168,8.883620769471413
29,4641,6.326340942128783
30,134,9.006720867727367
31,8993,8.845043890774852
32,2578,9.35906212757049
33,8217,7.452500948577882
34,8404,9.65765396886803
35,9316,8.7581333631846
36,7951,8.781763134436106
37,2896,8.55879091493412
38,3886,9.0263632424692
39,7233,8.666530084531342
40,8452,8.59276652896579
41,6439,9.068489598309963
42,3999,8.991068697857294
43,709,8.797200448518032
44,8117,9.66634289638549
45,936,8.555574140470734
46,2133,8.68581523108544
47,8475,8.82158404357586
48,2613,9.616617694237364
49,8430,8.088092650397943
50,5229,5.650450735388474
51,4053,8.649195565418166
52,5173,5.703041072366803
53,6929,8.662325629057273
54,7389,6.512272193511955
55,6872,7.073975294884265
56,6460,7.080113656655729
57,6740,6.5006121426872525
58,9764,8.82201821247449
59,7306,8.666643384309928
60,4442,9.48386946825371
61,6829,9.023338865439786
62,1538,8.78758337350096
63,2061,7.418736991617234
64,3485,8.899222833481264
65,5622,8.687843089982401
66,9494,9.013866815963045
67,7817,8.866455026020539
68,2144,5.089296842059739
69,856,9.201777716253881
70,6347,9.081606124502466
71,4027,8.822334131947473
72,5479,7.44258649648358
73,3955,8.873528025549165
74,7810,4.902966180603033
75,4912,8.887615908880633
76,5818,9.663616428258191
77,2669,8.489934162380731
78,2878,9.636467987996376
79,31,6.185306155264184
80,581,6.703082567840025
81,8336,8.783954339003994
82,8994,5.2005217396623005
83,2233,5.915253224152401
84,6604,7.396990657703267
85,2114,6.540480957699101
86,6570,5.351863758591935
87,5745,7.596960148375665
88,4686,4.993850762521051
89,7187,9.037177117627198
90,76,6.939716562645369
91,4908,9.654607832681437
92,7009,6.9758579322221355
93,7273,5.3301823034663816
94,9085,3.6206418035551433
95,9527,9.586472838397107
96,679,7.392728695413616
97,3515,8.618849782683068
98,6499,7.1261300148428495
99,1995,9.022237031451775
100,3299,8.648284343737844
