Run,Seed,Generation,InterIsland Diversity,Global Diversity,Migrants,Epoch Size,Best Score So Far,Avg Global Fitness,Island0,Island1,Island2,Island3,Island4
1,5135,150,26.1122,3.1289,2,98,0.0039916,1.3027E-11,4.3573E-17,3.1232E-19,1.6485E-17,3.1619E-11,3.3518E-11
1,5135,300,28.72048,2.98148,2,96,0.0039916,9.4209E-9,9.8922E-18,4.7102E-8,2.0656E-20,1.3578E-14,2.3901E-12
1,5135,450,26.88502,3.17293,2,95,0.0039916,3.7191E-13,9.2866E-15,1.652E-12,1.2489E-13,7.303E-14,3.2667E-16
1,5135,600,20.82481,3.22211,2,93,0.0039916,5.9961E-9,8.659E-9,1.1337E-8,9.8299E-9,7.2618E-12,1.4708E-10
1,5135,750,21.33822,2.71489,2,91,0.0039916,1.6548E-10,8.9592E-14,1.3428E-11,4.7236E-13,8.1339E-10,3.2155E-17
1,5135,900,17.1726,2.54996,2,89,0.0039916,5.3618E-14,1.0857E-17,3.6811E-17,2.5724E-13,1.078E-14,2.3899E-17
1,5135,1050,22.24095,2.66872,2,88,0.015172,5.8811E-8,1.6122E-11,3.6284E-9,2.786E-16,2.9041E-7,2.4405E-13
1,5135,1200,16.29521,2.48882,2,86,0.015172,3.2803E-10,1.593E-9,2.7171E-12,8.7281E-15,2.5618E-14,4.4376E-11
1,5135,1350,22.35438,2.85902,2,84,0.015172,1.3308E-7,2.4015E-13,8.8755E-14,2.142E-12,6.6541E-7,4.9894E-17
1,5135,1500,20.49853,2.75783,2,83,0.015172,3.8239E-13,3.1178E-18,1.4447E-12,5.4526E-17,4.643E-13,2.8787E-15
1,5135,1650,19.43445,2.74777,2,81,0.015172,4.5694E-9,2.5794E-13,6.9278E-15,1.2218E-12,2.2845E-8,2.2666E-13
1,5135,1800,17.23866,2.55879,3,80,0.015172,6.4721E-11,2.9666E-10,1.9197E-11,1.7377E-17,8.7077E-14,7.6585E-12
1,5135,1950,13.22489,2.0113,3,78,0.015172,1.3796E-8,1.8645E-14,6.4993E-12,6.8972E-8,4.3008E-17,2.2798E-14
1,5135,2100,17.19355,2.09309,3,77,0.015172,8.3096E-13,4.4081E-15,1.4145E-13,2.2693E-12,1.9623E-17,1.7396E-12
1,5135,2250,19.45076,2.3706,3,75,0.015172,3.5693E-6,3.7944E-16,1.7847E-5,4.9066E-19,1.3638E-14,4.9836E-13
1,5135,2400,18.89627,2.38328,3,74,0.015172,1.2724E-11,1.4258E-11,1.4487E-11,2.3789E-13,2.6505E-13,3.4373E-11
1,5135,2550,19.79676,2.28471,3,73,0.015172,2.2535E-5,3.4363E-12,1.1267E-4,4.9509E-15,1.4992E-13,1.4729E-16
1,5135,2700,4.04153,0.9059,3,71,0.92721,0.1405,1.6565E-5,0.43224,0.17107,0.09229,0.0068825
1,5135,2850,0.04685,0.0048172,3,70,3.53356,2.7253,2.72768,2.8856,3.19749,2.14971,2.66603
1,5135,3000,0.03414,0.0041931,3,69,4.11396,3.25543,3.00366,3.06872,3.49766,3.47088,3.23622
1,5135,3150,0.02958,0.0045643,3,67,4.11396,3.42779,3.25502,3.25871,3.61506,3.52012,3.49004
1,5135,3300,0.03598,0.0047649,3,66,4.21242,3.41876,3.44884,3.04199,3.69859,3.37175,3.53262
1,5135,3450,0.03502,0.0046867,3,65,4.21629,3.50458,3.41009,3.32808,3.61862,3.58633,3.57981
