Run,Seed,Generation,InterIsland Diversity,Global Diversity,Migrants,Epoch Size,Best Score So Far,Avg Global Fitness,Island0,Island1,Island2,Island3,Island4
1,6391,150,21.5116,2.82767,2,100,0.20766,3.3986E-7,2.4886E-14,9.1826E-11,2.5873E-13,1.6998E-9,1.6975E-6
1,6391,300,26.33991,2.71294,2,100,0.20766,4.2093E-10,1.3212E-9,7.4026E-10,5.0854E-13,1.7993E-14,4.2605E-11
1,6391,450,26.31505,3.07062,2,100,0.20766,9.7237E-9,1.4664E-17,4.8615E-8,3.035E-12,1.0554E-16,1.0761E-13
1,6391,600,20.33541,2.88456,2,100,0.20766,5.6464E-9,3.3178E-9,1.7556E-15,9.9152E-17,2.4893E-8,2.1722E-11
1,6391,750,24.00373,2.90286,2,100,0.20766,1.0105E-7,5.0491E-7,7.6601E-11,2.8719E-10,1.6486E-12,2.9175E-16
1,6391,900,24.0876,2.8378,2,100,0.20766,2.4914E-9,4.3694E-11,3.7586E-14,4.8375E-16,1.0268E-8,2.1457E-9
1,6391,1050,25.73515,2.89869,2,100,0.20766,3.6176E-8,1.1507E-11,1.172E-15,1.806E-7,2.1995E-14,2.7119E-10
1,6391,1200,30.11336,2.70845,2,100,0.20766,1.7794E-10,1.0629E-11,3.1339E-14,8.7633E-10,2.7188E-12,3.6244E-18
1,6391,1350,22.44307,2.62731,2,100,0.20766,1.9345E-7,1.4374E-12,1.4434E-15,9.6706E-7,1.1467E-13,2.0714E-10
1,6391,1500,25.67061,2.68519,2,100,0.20766,3.5256E-7,2.0232E-16,1.7628E-6,3.8408E-15,3.6459E-15,2.0935E-15
1,6391,1650,22.8151,2.36786,2,100,0.20766,2.8532E-10,2.278E-14,5.0217E-14,1.4264E-9,7.6978E-14,5.2819E-18
1,6391,1800,20.11059,2.56273,3,100,0.20766,5.9353E-14,1.4992E-18,9.0695E-14,3.1096E-14,1.2584E-13,4.9132E-14
1,6391,1950,18.38746,2.38769,3,100,0.20766,6.1234E-7,9.7009E-8,7.4173E-10,6.3423E-8,1.0989E-16,2.9005E-6
1,6391,2100,15.07288,2.10371,3,100,1.20415,0.12484,0.58647,1.299E-10,6.4845E-14,1.0739E-13,0.03772
1,6391,2250,9.47277,1.51493,3,100,3.10558,1.35864,2.38859,2.32328,0.12728,8.6543E-15,1.95407
1,6391,2400,3.45641,0.53971,3,100,4.44066,2.70713,3.13929,2.84443,2.90561,0.79043,3.8559
1,6391,2550,0.31012,0.011515,3,100,4.70946,3.5571,3.87759,4.15097,3.00432,2.82674,3.92588
1,6391,2700,0.31418,0.011639,3,100,4.70946,3.61284,3.8202,4.06518,3.00423,2.88749,4.2871
1,6391,2850,0.017718,7.7432E-4,3,100,4.82546,4.14776,4.19007,3.99509,4.03744,4.09626,4.41996
1,6391,3000,0.012406,7.1093E-4,3,100,4.97007,4.16698,4.3059,4.18423,4.11098,3.96915,4.26462
1,6391,3150,0.016776,5.393E-4,3,100,5.17468,4.20366,4.23417,4.37101,4.18536,3.71312,4.51465
1,6391,3300,0.011493,3.7774E-4,3,100,5.17468,4.24488,4.31672,4.36727,4.30494,4.2941,3.94134
1,6391,3450,0.018903,4.8446E-4,3,100,5.17468,4.36603,4.46016,4.18144,4.28529,4.34861,4.55467
1,6391,3600,0.02069,5.4909E-4,3,100,5.17468,4.39802,4.20798,4.40577,4.5178,4.42211,4.43645
1,6391,3750,0.02418,6.2948E-4,3,100,5.17468,4.24085,4.42012,4.29989,4.17626,4.20409,4.10388
1,6391,3900,0.0228,6.7773E-4,3,100,5.17468,4.26478,4.41372,4.36541,4.25905,4.01053,4.27521
1,6391,4050,0.03025,7.5464E-4,3,100,5.17468,4.3854,3.99009,4.30978,4.50037,4.63061,4.49613
1,6391,4200,0.02401,6.2611E-4,3,100,5.17468,4.08085,4.13206,4.48605,4.08978,3.67285,4.02349
1,6391,4350,0.02449,5.857E-4,3,100,5.17468,4.31394,4.38309,4.1388,4.31135,4.37281,4.36366
1,6391,4500,0.02543,5.7907E-4,4,100,5.17468,4.27609,4.29445,4.23385,4.42532,4.29305,4.1338
1,6391,4650,0.011742,4.1838E-4,4,100,5.17468,4.37344,4.43683,4.49567,4.11401,4.44887,4.3718
1,6391,4800,0.013707,4.7551E-4,4,100,5.17468,4.37647,4.53939,4.44775,4.34495,4.32557,4.22466
1,6391,4950,0.018787,5.2413E-4,4,100,5.17468,4.40865,4.40388,4.34751,4.46371,4.40602,4.42212
1,6391,5100,0.02364,5.8083E-4,4,100,5.17468,4.27315,4.26759,4.3777,4.01955,4.416,4.28491
1,6391,5250,0.0099477,2.832E-4,4,100,5.17468,4.38585,4.56566,4.43906,4.27154,4.37074,4.28223
1,6391,5400,0.012979,3.8565E-4,4,100,5.17468,4.39116,4.44585,4.45701,4.39895,4.366,4.28798
1,6391,5550,0.01544,4.1291E-4,4,100,5.17468,4.29292,4.51103,4.45642,4.20147,4.03927,4.25639
1,6391,5700,0.016884,5.0525E-4,4,100,5.17468,4.24793,4.08744,4.15485,4.42568,4.07642,4.49526
1,6391,5850,0.017483,4.5475E-4,4,100,5.17468,4.23422,4.41928,4.17332,4.29738,4.19571,4.08544
1,6391,6000,0.02192,5.7277E-4,4,100,5.17468,4.30655,4.08447,4.15748,4.45098,4.54533,4.29446
1,6391,6150,0.02412,6.1513E-4,4,100,5.17468,4.38242,4.38665,4.56475,4.49055,4.15977,4.31035
1,6391,6300,0.02538,6.692E-4,4,100,5.17468,4.3791,4.42837,4.42074,4.49291,4.21854,4.33495
1,6391,6450,0.02537,6.7212E-4,4,100,5.17468,4.34007,4.47472,4.23036,4.48693,4.38476,4.12357
1,6391,6600,0.03348,7.8888E-4,5,100,5.17468,4.40711,4.28786,4.39934,4.52599,4.45837,4.36399
1,6391,6750,0.02006,4.5766E-4,5,100,5.17468,4.31767,4.51251,4.38987,3.94712,4.51894,4.21991
1,6391,6900,0.02687,5.6192E-4,5,100,5.17468,4.42348,4.65406,4.21293,4.49095,4.41876,4.34071
1,6391,7050,0.017642,3.9547E-4,5,100,5.17468,4.40126,4.53475,4.33068,4.35083,4.40559,4.38447
1,6391,7200,0.02469,5.8099E-4,5,100,5.17468,4.22505,4.48605,3.93782,4.36626,4.25104,4.08407
1,6391,7350,0.012873,4.0872E-4,5,100,5.17468,4.30645,4.31437,4.20473,4.29097,4.27162,4.45058
1,6391,7500,0.0065719,3.0376E-4,5,100,5.17468,4.3201,4.42786,4.05922,4.39391,4.33046,4.38907
1,6391,7650,0.012542,3.4608E-4,5,100,5.17468,4.36828,4.52127,4.46138,4.23919,4.08623,4.5333
