Run,Seed,Generation,InterIsland Diversity,Global Diversity,Migrants,Epoch Size,Best Score So Far,Avg Global Fitness,Island0,Island1,Island2,Island3,Island4
1,3994,150,25.10458,2.7101,2,98,0.0017777,2.3702E-5,1.7893E-13,1.1851E-4,1.9785E-13,1.1176E-9,2.8383E-14
1,3994,300,27.03442,2.90781,2,96,0.001867,7.1001E-11,2.4451E-11,2.661E-12,3.1359E-15,4.2769E-14,3.2785E-10
1,3994,450,19.59684,2.58792,2,95,0.001867,2.5273E-12,1.2607E-11,1.6098E-16,3.3945E-15,1.086E-14,1.5076E-14
1,3994,600,27.83026,2.76198,2,93,0.001867,2.61E-10,5.6975E-11,5.7398E-11,4.1639E-14,2.9895E-12,1.1876E-9
1,3994,750,23.56081,2.81622,2,91,0.001867,1.2992E-7,6.4952E-7,2.5364E-16,4.0925E-12,4.6226E-11,1.2839E-11
1,3994,900,17.01434,2.46253,2,89,0.001867,4.471E-6,1.1034E-11,5.063E-21,2.393E-11,1.552E-5,6.8346E-6
1,3994,1050,18.39991,2.38904,2,88,0.001867,3.7568E-10,1.8775E-9,5.7547E-23,7.75E-13,3.4354E-14,3.1331E-14
1,3994,1200,21.85354,2.4806,2,86,0.001867,2.1769E-6,1.4732E-15,7.8182E-14,1.0884E-5,6.2094E-15,6.2236E-13
1,3994,1350,17.68942,2.44509,2,84,0.001867,7.1911E-14,8.7726E-17,1.9649E-13,2.5625E-16,2.7323E-16,1.6244E-13
1,3994,1500,15.16141,2.04401,2,83,0.0059184,3.7155E-6,1.6109E-10,1.8282E-17,6.0283E-8,1.7491E-12,1.8517E-5
1,3994,1650,13.24064,2.57722,2,81,0.04697,2.5852E-5,1.2926E-4,7.8682E-21,4.2021E-12,8.0352E-16,1.082E-15
1,3994,1800,12.27906,1.787,2,80,2.17848,0.2569,1.28362,8.6128E-4,6.4505E-11,8.0371E-20,6.6064E-13
1,3994,1950,10.99288,1.60437,2,78,3.58227,0.73346,3.26124,0.40601,5.5947E-5,2.4923E-13,1.4525E-12
1,3994,2100,7.58947,1.30191,2,77,4.10228,1.06442,3.32543,0.85359,1.14307,2.321E-11,4.6859E-17
1,3994,2250,6.59687,1.21655,2,75,4.24075,1.46026,3.7672,1.17298,1.23801,1.12313,6.4453E-13
1,3994,2400,5.44066,0.47904,2,74,4.60468,2.85178,3.68436,3.81548,4.01977,1.3912,1.34808
1,3994,2550,5.44519,0.47892,2,73,4.81034,3.09193,3.86608,4.51805,3.8404,1.6822,1.55294
1,3994,2700,5.26249,0.47261,2,71,5.90527,3.66261,4.19887,4.50661,5.633,2.22224,1.75235
1,3994,2850,0.016005,5.9983E-4,2,70,6.24741,5.39797,5.32053,5.03462,5.60884,5.58795,5.43792
1,3994,3000,0.02176,7.0845E-4,2,69,6.41021,5.64232,5.91125,5.65622,5.577,5.60065,5.46646
1,3994,3150,0.019666,6.6566E-4,2,67,6.41021,5.5858,5.70233,5.53082,5.59207,5.65367,5.45012
1,3994,3300,0.02318,7.5064E-4,2,66,6.41932,5.65135,5.72079,5.68778,5.5763,5.52735,5.74455
1,3994,3450,0.02682,9.0975E-4,2,65,6.41932,5.76771,5.75299,5.7959,5.60456,5.85198,5.8331
1,3994,3600,0.02475,0.0010925,2,64,6.49303,5.69765,5.83533,5.81933,5.40693,5.73341,5.69324
1,3994,3750,0.02853,0.0012517,2,63,6.54001,5.72015,5.71789,5.78997,5.81883,5.46477,5.80927
1,3994,3900,0.03443,0.0013909,2,61,6.54001,5.73591,5.83464,5.77732,5.86937,5.5091,5.68914
1,3994,4050,0.03258,0.0013696,2,60,6.5564,5.7312,5.89434,5.78851,5.77737,5.65157,5.54422
1,3994,4200,0.0283,0.0013942,2,59,6.65332,5.76337,6.16866,5.69622,5.77042,5.39566,5.78588
1,3994,4350,0.02743,0.001556,2,58,6.77257,5.81278,6.21147,5.90043,5.77356,5.43592,5.74254
1,3994,4500,0.02703,0.0017273,2,57,6.90062,5.82258,6.32458,5.71318,5.77907,5.7498,5.54627
1,3994,4650,0.02173,0.0017022,2,56,7.08793,5.7767,6.04944,5.66919,5.781,5.70835,5.6755
1,3994,4800,0.02811,0.0017329,2,55,7.08793,5.71544,6.28922,5.52625,5.33545,5.6485,5.77778
1,3994,4950,0.03051,0.0017038,2,54,7.08793,5.80875,6.50282,5.77535,5.57883,5.49571,5.69104
1,3994,5100,0.02805,0.0023317,2,53,7.20825,5.99846,6.60476,6.40843,5.44022,5.66267,5.8762
1,3994,5250,0.04024,0.0025816,2,52,7.78666,6.47625,6.77875,6.64064,7.59019,5.73718,5.63451
1,3994,5400,0.03989,0.0025705,2,51,8.29947,6.6411,7.10336,6.85521,7.76017,5.85058,5.63616
1,3994,5550,0.02224,7.0392E-4,2,50,8.62893,7.68762,7.3208,7.13602,8.09848,7.94766,7.93513
1,3994,5700,0.013988,5.0091E-4,2,49,8.70737,7.92721,8.0494,7.53469,8.039,8.05274,7.96021
1,3994,5850,0.010919,3.5889E-4,2,48,8.70737,8.00566,8.04582,8.00355,8.20535,7.83161,7.94197
1,3994,6000,0.0083524,3.3382E-4,2,47,8.70737,7.93509,7.96315,7.84459,7.8627,7.94178,8.06325
1,3994,6150,0.011237,5.1596E-4,2,46,8.71702,7.91481,8.11913,7.95883,7.8605,7.92787,7.70771
1,3994,6300,0.0071875,4.2277E-4,2,46,8.71702,7.75526,7.87559,7.64526,7.61135,7.67305,7.97106
1,3994,6450,0.0097159,3.6184E-4,2,45,8.71702,7.92156,8.08339,8.03275,7.90263,7.70916,7.87989
1,3994,6600,0.010214,4.5531E-4,2,44,8.71702,7.95576,7.87452,7.8228,8.25421,8.08129,7.74597
1,3994,6750,0.012609,5.2807E-4,2,43,8.71702,7.82011,8.02213,7.82983,7.47077,7.93462,7.84318
1,3994,6900,0.014866,5.5152E-4,2,42,8.71702,7.94498,8.18262,7.95643,7.75934,8.09365,7.73285
1,3994,7050,0.014304,6.2406E-4,2,41,8.76637,7.86628,8.07667,7.7499,7.78076,7.855,7.86907
1,3994,7200,0.017169,6.2566E-4,2,41,8.76637,7.8327,7.99433,7.71981,7.66551,7.91056,7.87327
1,3994,7350,0.019114,6.7657E-4,2,40,8.76637,7.92965,8.08661,7.82601,7.9996,7.76881,7.96723
1,3994,7500,0.019304,6.0601E-4,2,39,8.76637,7.79259,7.79535,7.11076,7.96351,7.90452,8.18881
1,3994,7650,0.016067,6.2261E-4,2,38,8.76637,7.74458,7.84519,7.13483,7.84326,8.0017,7.89791
1,3994,7800,0.02516,7.714E-4,2,38,8.76637,7.93383,8.01324,7.90129,7.85602,7.92791,7.9707
1,3994,7950,0.02729,7.7625E-4,2,37,8.76637,7.96717,7.93179,8.05385,7.7433,7.97869,8.1282
1,3994,8100,0.02415,7.9598E-4,2,36,8.76637,7.9607,7.87703,7.90413,7.85838,8.01609,8.14787
1,3994,8250,0.02343,8.1236E-4,2,36,8.76637,7.80836,7.95583,7.75095,7.5519,7.87745,7.90568
1,3994,8400,0.02334,8.496E-4,2,35,8.76637,7.96455,7.8384,8.11957,8.09401,7.64171,8.12907
1,3994,8550,0.02765,9.1412E-4,2,34,8.76637,7.84916,8.02901,7.82052,7.83363,7.76426,7.7984
1,3994,8700,0.03477,0.0010786,2,34,8.76637,7.95999,8.02522,7.98405,7.86483,7.88114,8.0447
1,3994,8850,0.0305,9.8855E-4,2,33,8.76637,7.77121,7.72893,7.84229,8.00253,7.44271,7.8396
1,3994,9000,0.02745,9.2381E-4,2,32,8.76637,7.88233,7.78799,7.96714,7.96075,7.76336,7.93242
1,3994,9150,0.03331,0.0010493,2,32,8.79855,7.97582,8.25386,8.02572,7.8846,7.93941,7.77549
1,3994,9300,0.03287,0.0010137,2,31,8.79855,8.02596,8.03886,8.24159,7.88245,7.86402,8.10289
1,3994,9450,0.03387,0.0010336,2,31,8.79855,7.93749,8.00396,8.11481,7.82779,7.76483,7.97604
1,3994,9600,0.03002,9.7785E-4,2,30,8.79855,7.95936,8.12111,7.86287,7.80328,8.05764,7.9519
1,3994,9750,0.02841,8.8726E-4,2,30,8.79855,8.06817,8.1819,8.03302,8.1388,7.93962,8.04751
1,3994,9900,0.02592,9.0543E-4,2,29,8.79855,7.94891,8.07066,8.04664,8.04548,7.57461,8.00715
1,3994,10050,0.02398,9.2898E-4,2,28,8.79855,7.79644,7.91397,8.06288,7.58935,7.78057,7.63544
1,3994,10200,0.02348,8.6303E-4,2,28,8.79855,7.95724,8.06717,7.81075,7.91652,7.90515,8.08662
1,3994,10350,0.02186,8.4767E-4,2,27,8.79855,7.91786,7.89721,7.92299,7.73425,8.06949,7.96535
1,3994,10500,0.02874,9.6394E-4,2,27,8.81769,7.88171,7.99373,8.05862,7.84473,7.66893,7.84252
1,3994,10650,0.02892,9.2366E-4,2,26,8.81769,8.07188,8.16956,8.08988,7.95833,8.10238,8.03924
1,3994,10800,0.03108,9.8302E-4,2,26,8.81769,7.88395,7.89895,7.45174,8.11155,7.97499,7.98252
1,3994,10950,0.01544,5.4885E-4,2,25,8.81769,8.06225,8.25693,8.23324,7.9001,7.77375,8.14723
1,3994,11100,0.014386,5.743E-4,2,25,8.81769,7.98346,7.74065,8.03577,8.13057,8.07929,7.93101
1,3994,11250,0.011196,4.7352E-4,2,25,8.81769,7.98636,8.01043,8.10957,7.93114,7.87559,8.00506
1,3994,11400,0.0092686,3.3396E-4,2,24,8.81769,7.89636,7.67561,7.98448,7.76954,8.25301,7.79916
1,3994,11550,0.0041964,2.8135E-4,2,24,8.81769,8.05316,8.11055,8.05437,8.09441,8.08907,7.91742
1,3994,11700,0.0060346,2.5847E-4,2,23,8.81769,8.03157,7.94538,7.93324,7.93537,8.15636,8.18751
1,3994,11850,0.0032547,2.8144E-4,2,23,8.81769,8.00212,8.05073,8.17207,7.63931,8.20778,7.94073
1,3994,12000,0.007366,3.3739E-4,2,22,8.81769,7.94553,7.80015,8.02237,7.96798,7.94645,7.99067
1,3994,12150,0.0091132,4.2129E-4,2,22,8.81769,7.93218,8.14084,7.80104,7.96499,7.92046,7.83355
1,3994,12300,0.010616,3.9801E-4,2,21,8.81769,8.0722,7.8258,8.13156,8.21835,8.14185,8.04346
1,3994,12450,0.007417,3.3421E-4,2,21,8.81769,7.83802,7.84689,7.58367,7.92623,7.89446,7.93886
1,3994,12600,0.0081793,3.4768E-4,2,21,8.81769,7.78718,7.25956,7.92443,7.79945,7.89926,8.05321
1,3994,12750,0.0082922,3.4541E-4,2,20,8.81769,7.98658,8.23335,7.9901,7.57994,8.01477,8.11472
1,3994,12900,0.01387,4.7444E-4,2,20,8.81769,7.95444,7.98252,7.69845,8.11886,7.87393,8.09844
1,3994,13050,0.0076218,3.1567E-4,2,20,8.81769,8.04232,7.91192,8.08371,8.03197,8.21985,7.96416
1,3994,13200,0.0078392,3.4952E-4,2,19,8.81769,7.93531,8.06463,7.91934,8.00316,7.80737,7.88204
1,3994,13350,0.011736,4.5329E-4,2,19,8.81769,7.94117,7.9676,8.00407,8.07646,7.91242,7.74529
1,3994,13500,0.0063773,2.9498E-4,2,18,8.82301,7.97257,7.93218,8.05844,8.01992,7.87865,7.97364
1,3994,13650,0.0091049,3.7446E-4,2,18,8.86787,7.88799,7.76745,7.89919,7.84589,7.97009,7.95731
1,3994,13800,0.011645,3.7497E-4,2,18,8.86787,7.96481,8.14295,7.99625,8.0866,8.05782,7.54043
1,3994,13950,0.0051014,2.7189E-4,2,17,8.86787,7.9385,7.73173,8.01884,7.94089,7.98543,8.0156
1,3994,14100,0.003042,2.9597E-4,2,17,8.86787,7.87762,7.94859,8.04048,7.69979,7.80012,7.89913
1,3994,14250,0.0081462,3.7942E-4,2,17,8.86787,7.89086,7.87428,7.77119,7.93459,8.13702,7.73724
1,3994,14400,0.0057766,3.2247E-4,2,17,8.86787,7.96281,7.76596,8.05462,8.11345,8.03666,7.84338
1,3994,14550,0.0082908,3.2122E-4,2,16,8.86787,7.91098,7.95338,7.86528,7.8152,7.79874,8.12229
1,3994,14700,0.0075823,3.1949E-4,2,16,8.86787,7.96399,7.86783,7.67574,8.07964,8.18446,8.01225
1,3994,14850,0.0037222,2.7617E-4,2,16,8.86787,8.06131,8.187,7.98434,8.05654,7.99182,8.08683
1,3994,15000,0.0095175,3.652E-4,2,15,8.86787,8.09722,8.19414,8.26369,7.95217,8.20913,7.86699
1,3994,15150,0.0037131,2.627E-4,2,15,8.86787,7.92872,8.00872,8.02627,7.91157,7.67322,8.02383
1,3994,15300,0.0072494,3.267E-4,2,15,8.86787,7.98718,7.84584,7.99971,7.97768,8.10576,8.00694
2,8751,150,27.62883,2.98852,2,98,0.0011797,1.3754E-9,2.2748E-12,3.0603E-12,6.8715E-9,8.6088E-16,2.3984E-17
2,8751,300,22.68024,2.74123,2,96,0.0014253,3.1616E-10,1.5621E-11,2.2602E-20,1.5652E-9,5.9533E-15,3.4813E-14
2,8751,450,20.50637,2.57564,2,95,0.0014253,6.9302E-9,3.4557E-8,2.7834E-15,7.7179E-17,9.4057E-11,3.6017E-13
2,8751,600,31.19767,2.94507,2,93,0.0014253,9.0075E-10,6.3214E-13,1.7523E-14,2.724E-9,1.7791E-9,9.8081E-17
2,8751,750,29.47552,2.98888,2,91,0.0014253,1.2205E-10,6.9993E-12,8.8145E-15,3.9216E-12,6.3768E-14,5.9927E-10
2,8751,900,33.8622,2.85602,2,89,0.0053297,2.0507E-10,1.2386E-10,5.0269E-12,7.1614E-14,7.0392E-19,8.9639E-10
2,8751,1050,20.90918,2.70818,2,88,0.0053297,1.6688E-9,5.7173E-14,4.6441E-16,9.5968E-14,8.3311E-9,1.2887E-11
2,8751,1200,25.06695,3.0517,2,86,0.0053297,1.3585E-11,6.5959E-11,1.8128E-12,1.0753E-15,5.8798E-16,1.502E-13
2,8751,1350,24.34678,3.0168,2,84,0.0053297,3.3016E-8,2.9931E-13,7.4811E-14,1.6303E-7,2.051E-9,4.6202E-14
2,8751,1500,22.09506,2.73443,2,83,0.0053297,1.5419E-8,4.0508E-14,3.6732E-19,7.6528E-8,6.6559E-15,5.6543E-10
2,8751,1650,27.50812,2.70737,2,81,0.0053297,1.883E-10,5.6822E-13,3.7779E-10,1.334E-12,5.8797E-17,5.6178E-10
2,8751,1800,35.58091,2.86435,2,80,0.0053297,2.8075E-12,1.3729E-11,5.3926E-15,2.2699E-13,7.1282E-14,4.206E-15
2,8751,1950,24.20029,3.12508,2,78,0.0053297,2.6599E-5,1.33E-4,3.6333E-14,6.7457E-19,1.0322E-17,4.6011E-13
2,8751,2100,29.31053,3.24419,2,77,0.0053297,9.672E-7,1.1889E-14,1.3786E-13,4.836E-6,3.0709E-13,3.6057E-19
2,8751,2250,20.49083,2.80746,2,75,0.0053297,7.1448E-12,2.1587E-11,1.15E-13,6.0537E-19,1.1922E-16,1.4021E-11
2,8751,2400,17.35294,2.51329,2,74,0.010907,2.4955E-7,1.0942E-13,3.5272E-11,5.2341E-16,8.1638E-14,1.2477E-6
