Run,Seed,Generation,InterIsland Diversity,Global Diversity,Migrants,Epoch Size,Best Score So Far,Avg Global Fitness,Island0,Island1,Island2,Island3,Island4
1,9047,150,27.59305,3.09757,0,1,7.44E-5,1.4097E-12,2.0092E-12,1.3781E-15,5.0373E-12,8.8486E-17,6.3248E-16
1,9047,300,35.01809,3.07279,0,1,4.6614E-4,3.1299E-6,1.5608E-5,2.7718E-8,1.3383E-15,9.3894E-16,1.3482E-8
1,9047,450,26.87007,2.823,0,1,4.6614E-4,8.101E-12,1.0939E-13,4.3099E-18,4.6539E-15,4.0387E-11,4.4693E-15
1,9047,600,26.50748,2.93,0,1,0.0012278,3.8821E-11,1.0798E-13,1.8514E-10,2.4618E-13,4.7442E-15,8.6076E-12
1,9047,750,28.25236,3.0208,0,1,0.0030693,5.9075E-10,4.7174E-13,3.7459E-14,1.4591E-15,2.9492E-9,4.0003E-12
1,9047,900,18.1294,2.826,0,1,0.0030693,2.2832E-12,3.5086E-14,1.1379E-11,1.0083E-17,1.5984E-15,2.7053E-17
1,9047,1050,24.22522,2.64972,0,1,0.0030693,5.2947E-12,1.8732E-15,5.483E-13,2.446E-11,9.7411E-14,1.3665E-12
1,9047,1200,25.91414,3.0202,0,1,0.0030693,1.4843E-6,2.343E-12,2.1616E-12,7.4162E-6,6.7403E-14,5.0814E-9
1,9047,1350,30.06554,2.97413,0,1,0.0030693,1.4148E-10,4.4736E-16,6.6716E-12,6.9856E-10,1.9472E-12,2.2209E-13
1,9047,1500,21.98264,2.8885,0,1,0.0030693,9.2384E-8,4.6179E-7,2.1776E-16,4.8291E-11,3.0841E-13,8.3713E-11
1,9047,1650,26.47248,2.8154,0,1,0.0042762,4.3055E-9,7.8698E-18,2.1293E-8,8.0853E-13,2.1821E-10,1.5243E-11
1,9047,1800,24.50702,2.40431,0,1,0.01073,2.5593E-16,1.1465E-15,3.4782E-18,1.051E-16,6.7032E-20,2.4521E-17
1,9047,1950,24.57989,2.61156,0,1,0.01073,1.3622E-9,6.811E-9,3.0468E-16,1.7552E-16,3.9305E-16,7.2885E-18
1,9047,2100,19.88846,2.72495,0,1,0.01073,6.5256E-9,1.9701E-9,1.8145E-15,5.088E-14,4.3001E-16,3.0658E-8
1,9047,2250,22.74558,2.65999,0,1,0.01073,7.2896E-11,2.1204E-13,2.856E-15,2.9799E-10,6.6276E-11,2.3911E-16
1,9047,2400,21.07798,2.57896,0,1,0.03143,1.19E-11,2.7602E-14,5.5876E-14,1.7008E-13,5.9245E-11,1.3086E-16
1,9047,2550,22.53204,2.46791,0,1,0.70862,0.007879,0.0394,6.7833E-8,3.8522E-9,8.3774E-18,1.5909E-14
1,9047,2700,23.53317,2.46376,0,1,2.3428,0.24136,1.20681,6.9505E-9,5.3107E-12,1.5168E-9,2.2991E-13
1,9047,2850,19.94935,2.59029,0,1,3.87123,0.65243,3.26206,9.6467E-5,2.9351E-14,2.5128E-12,2.1504E-14
1,9047,3000,18.37652,2.58521,0,1,4.41118,0.74641,3.73203,7.5486E-14,7.1811E-15,9.9787E-18,3.9599E-14
1,9047,3150,23.94004,2.74484,0,1,4.41118,0.67996,3.39981,3.3398E-13,7.584E-8,8.0042E-8,1.7329E-13
1,9047,3300,17.45454,2.50096,0,1,4.57527,0.76527,3.82636,2.2963E-15,6.8104E-7,4.3629E-11,1.5772E-12
1,9047,3450,22.04066,2.30558,0,1,4.58372,1.00937,4.01729,4.0794E-16,1.02956,3.279E-18,9.8065E-14
1,9047,3600,21.7614,2.36414,0,1,6.121,1.75061,4.09521,3.7289E-19,4.65784,1.9961E-13,3.4866E-12
1,9047,3750,21.57352,2.5909,0,1,7.74108,2.24086,4.05267,1.6633E-12,7.15146,1.7549E-4,3.5479E-9
1,9047,3900,18.85238,2.53266,0,1,8.45486,2.34641,3.87452,5.6132E-21,7.85751,5.2219E-11,3.3136E-13
1,9047,4050,21.73945,2.53302,0,1,8.52178,2.39133,3.8656,6.1413E-13,8.09106,7.459E-9,4.9525E-12
1,9047,4200,17.76079,2.59903,0,1,8.74653,2.45413,4.25703,2.2877E-12,8.01362,3.321E-11,1.6183E-12
1,9047,4350,17.1038,2.43486,0,1,8.74653,2.42607,4.17455,0.03643,7.91937,3.9351E-12,5.0196E-14
1,9047,4500,17.13669,2.51414,0,1,8.74653,2.5994,4.2086,1.11391,7.67447,1.2988E-10,7.3768E-6
1,9047,4650,16.99787,2.43812,0,1,8.74653,2.94846,3.94724,2.95263,7.84241,5.4588E-10,1.7545E-6
1,9047,4800,17.16971,2.65953,0,1,8.74691,3.16007,4.11142,3.55338,8.13341,1.969E-13,0.0021445
1,9047,4950,22.56131,2.58992,0,1,8.74691,3.18553,4.09696,3.56638,8.03807,1.4652E-14,0.22623
1,9047,5100,19.56065,2.69594,0,1,8.74691,3.28658,4.31903,3.75677,8.04328,7.6144E-15,0.31382
1,9047,5250,21.75905,2.74619,0,1,8.74691,3.30047,4.21006,3.76058,8.09067,2.5042E-13,0.44106
1,9047,5400,22.72435,2.78346,0,1,8.74691,3.2986,4.23963,3.77812,8.02346,4.3572E-13,0.45181
1,9047,5550,19.63967,2.67027,0,1,8.74691,3.18884,3.94863,3.76866,7.81998,2.7896E-13,0.40693
1,9047,5700,20.09645,2.61652,0,1,8.74691,3.22186,4.27599,3.68573,7.85685,9.327E-11,0.29073
1,9047,5850,19.39261,2.63013,0,1,8.74691,3.24385,3.98856,3.89293,7.93818,1.4589E-10,0.39957
