Run,Seed,Generation,InterIsland Diversity,Global Diversity,Migrants,Epoch Size,Best Score So Far,Avg Global Fitness,Island0,Island1,Island2,Island3,Island4
1,4697,150,28.41879,2.84306,5,100,9.5043E-5,9.7273E-11,4.666E-14,9.3227E-12,2.3436E-14,2.2102E-10,2.5595E-10
1,4697,300,23.00898,2.77869,5,100,3.2213E-4,7.5945E-10,9.2275E-15,9.8246E-15,3.766E-9,7.9624E-14,3.1088E-11
1,4697,450,28.053,2.9344,5,100,6.1637E-4,1.1146E-9,1.1046E-15,5.5729E-9,9.0219E-16,1.038E-14,4.3702E-14
1,4697,600,28.08098,2.97951,5,100,6.1637E-4,2.8896E-8,5.3973E-13,9.8465E-17,1.4085E-7,1.6109E-11,3.6108E-9
1,4697,750,19.93719,2.79174,5,100,7.1556E-4,4.5221E-10,7.3796E-14,1.5189E-9,2.3483E-15,7.1499E-12,7.3495E-10
1,4697,900,19.72913,2.50913,5,100,0.0093573,1.8803E-6,9.0208E-15,1.3033E-11,3.5021E-15,4.9575E-12,9.4017E-6
1,4697,1050,28.30259,2.70183,5,100,0.0093573,2.7876E-9,1.9949E-12,1.2859E-14,1.8912E-9,1.1034E-15,1.2045E-8
1,4697,1200,15.03375,2.44391,5,100,0.0093573,5.9028E-11,2.9133E-10,9.8364E-16,4.0093E-15,3.6776E-12,1.2431E-13
1,4697,1350,19.56997,2.42725,5,100,0.0093573,2.113E-6,1.0558E-5,7.1429E-16,6.9529E-9,1.1892E-13,4.006E-23
1,4697,1500,16.76667,2.67535,5,100,0.0093573,1.0294E-15,9.9628E-16,6.5169E-16,6.0496E-17,1.8648E-23,3.4383E-15
1,4697,1650,22.2,2.65177,5,100,0.0093573,1.7132E-9,1.4571E-11,7.9654E-9,6.7843E-11,4.7255E-10,4.5825E-11
1,4697,1800,20.05581,2.59261,5,100,0.0093573,2.6607E-12,1.5311E-13,1.328E-14,5.9875E-12,5.9257E-12,1.2237E-12
1,4697,1950,25.78351,2.73308,5,100,0.0093573,1.1051E-10,5.4212E-10,5.0474E-17,6.3903E-15,2.0446E-13,1.0225E-11
1,4697,2100,26.78184,2.78789,5,100,0.0093573,9.4094E-8,4.7034E-7,1.0511E-13,1.2178E-10,7.6382E-12,1.3862E-14
1,4697,2250,24.45616,2.24555,5,100,0.0093573,2.0165E-10,9.5752E-18,3.4497E-15,2.7995E-14,1.0082E-9,3.7096E-15
1,4697,2400,20.88439,2.30268,5,100,0.0093573,2.8106E-8,6.477E-12,1.2072E-9,1.0519E-9,5.1506E-16,1.3827E-7
1,4697,2550,18.93049,2.02855,5,100,1.20111,0.19598,7.1544E-15,1.4927E-14,1.7021E-7,0.65166,0.32822
1,4697,2700,13.66062,1.25107,5,100,2.28623,1.00369,1.24896,2.0116E-9,0.12899,1.88159,1.75889
1,4697,2850,5.16855,0.0019485,5,100,2.38252,1.83738,1.91107,1.80652,1.66398,1.94273,1.86257
1,4697,3000,5.24873,0.0021155,5,100,2.43731,1.95949,1.79062,1.98272,1.98357,2.07466,1.96589
1,4697,3150,5.96642,0.0023235,5,100,2.43731,1.95344,2.03617,1.89925,1.84143,1.93653,2.05381
1,4697,3300,6.7127,0.0023896,5,100,2.46436,1.93099,1.88171,1.88272,1.94703,1.99999,1.94349
1,4697,3450,5.00842,0.0021284,5,100,2.4696,2.05527,2.1341,2.04632,2.01454,2.03163,2.04977
1,4697,3600,5.05425,0.002132,5,100,2.54059,1.98062,1.84531,2.11302,1.98364,1.89647,2.06465
1,4697,3750,4.92261,3.679E-4,5,100,2.62493,2.1402,2.00638,2.30013,2.08947,2.10048,2.20454
1,4697,3900,5.41948,4.0615E-4,5,100,2.68851,2.19589,2.16061,2.21218,2.26975,2.2233,2.1136
1,4697,4050,5.97493,6.1159E-4,5,100,2.68851,2.20993,2.12275,2.26784,2.26317,2.17495,2.22097
1,4697,4200,5.59917,6.5408E-4,5,100,2.68851,2.16124,2.25867,2.26228,2.12598,2.25267,1.90659
1,4697,4350,5.43263,8.2049E-4,5,100,2.72025,2.19617,2.09203,2.39258,2.23709,2.18806,2.07113
1,4697,4500,5.59173,8.9734E-4,5,100,2.75484,2.16111,2.23359,2.16285,2.24581,2.16358,1.99972
1,4697,4650,5.93253,8.9681E-4,5,100,2.78544,2.04099,2.1952,1.92193,1.97933,1.99436,2.11413
1,4697,4800,6.41016,9.6951E-4,5,100,2.78544,2.2068,2.11904,2.23703,2.27491,2.24298,2.16005
1,4697,4950,9.81723,9.167E-4,5,100,2.79718,2.22558,2.42363,2.19682,2.15389,2.13058,2.22298
1,4697,5100,8.58635,8.3123E-4,5,100,2.81076,2.27507,2.25739,2.49849,2.17492,2.13882,2.30572
1,4697,5250,8.3641,9.5564E-4,5,100,2.81076,2.34107,2.45974,2.37196,2.27425,2.26784,2.33158
1,4697,5400,9.93444,4.1426E-4,5,100,2.81419,2.28054,2.39355,2.30709,2.2184,2.17735,2.3063
1,4697,5550,10.16086,3.2169E-4,5,100,2.81419,2.27601,1.98992,2.40641,2.31244,2.40828,2.26303
1,4697,5700,9.36108,3.6162E-4,5,100,2.83924,2.28455,2.44451,2.10967,2.21722,2.3921,2.25923
1,4697,5850,7.92454,4.8615E-4,5,100,2.83924,2.24345,2.29297,2.02427,2.41575,2.25897,2.22529
1,4697,6000,8.83904,5.2111E-4,5,100,2.83924,2.29614,2.34082,2.18725,2.32012,2.23546,2.39707
1,4697,6150,9.12641,3.8501E-4,5,100,2.83924,2.30797,2.41654,2.16336,2.37823,2.32265,2.2591
1,4697,6300,9.12678,4.8492E-4,5,100,2.83924,2.25743,2.35188,2.13564,2.30306,2.18025,2.3163
1,4697,6450,9.51254,7.9499E-4,5,100,2.97079,2.30727,2.25525,2.44587,2.26054,2.20551,2.36917
1,4697,6600,8.51246,8.8063E-4,5,100,2.97079,2.32013,2.38344,2.30594,2.41501,2.13266,2.36359
1,4697,6750,8.8217,3.8006E-4,5,100,3.00658,2.54342,2.50482,2.66402,2.53338,2.47391,2.54099
1,4697,6900,8.93653,3.6676E-4,5,100,3.06822,2.47181,2.46205,2.61221,2.26356,2.37577,2.64544
1,4697,7050,8.91055,3.9215E-4,5,100,3.07362,2.56505,2.45643,2.63295,2.66451,2.36135,2.70998
1,4697,7200,9.03939,4.4026E-4,5,100,3.07362,2.57681,2.48467,2.57926,2.66437,2.51221,2.64355
1,4697,7350,9.8646,3.6927E-4,5,100,3.17845,2.62993,2.60895,2.62953,2.6319,2.58267,2.69661
1,4697,7500,9.60948,5.4938E-4,5,100,3.21279,2.53546,2.51804,2.56204,2.5074,2.58492,2.50488
1,4697,7650,9.5861,7.1337E-4,5,100,3.24766,2.66762,2.72431,2.69712,2.69504,2.53542,2.68619
1,4697,7800,9.35538,6.0145E-4,5,100,3.46028,2.72241,2.64159,2.64221,2.89343,3.04361,2.39123
1,4697,7950,9.95859,6.7037E-4,5,100,3.46154,2.8934,2.79424,2.74413,2.88701,2.98384,3.0578
1,4697,8100,9.68027,3.3011E-4,5,100,3.51454,2.9249,2.88795,3.04397,2.81247,3.03845,2.84166
1,4697,8250,10.6176,4.513E-4,5,100,3.52935,2.88152,3.03472,2.78382,2.75527,2.85643,2.97738
1,4697,8400,11.23194,5.8537E-4,5,100,3.8146,3.22628,3.51542,3.29227,2.9012,3.00472,3.41778
1,4697,8550,9.13799,5.5476E-4,5,100,3.94923,3.33721,3.36206,3.30592,3.33679,3.31247,3.36884
1,4697,8700,9.27727,4.0407E-4,5,100,4.06905,3.52232,3.46114,3.57685,3.6604,3.43825,3.47494
1,4697,8850,8.07936,3.8171E-4,5,100,4.06905,3.4829,3.39485,3.54398,3.52351,3.55146,3.40068
1,4697,9000,7.94894,4.5882E-4,5,100,4.14948,3.55752,3.67654,3.44923,3.49143,3.59383,3.57656
1,4697,9150,8.15437,4.1272E-4,5,100,4.14948,3.4821,3.64366,3.57522,3.23881,3.34138,3.61141
1,4697,9300,8.08134,4.7604E-4,5,100,4.14948,3.34971,3.54185,3.32755,3.30905,3.2934,3.27669
1,4697,9450,8.10399,3.6299E-4,5,100,4.21212,3.49056,3.32048,3.49803,3.52121,3.58782,3.52524
1,4697,9600,9.38854,4.9208E-4,5,100,4.21212,3.39469,3.50616,3.35342,3.36861,3.56556,3.17968
