Run,Seed,Final Score
1,4648,3.7573539132484353
2,1835,8.884256862598916
3,9422,1.3620284280711312
4,8829,8.892942184564376
5,5622,7.235175416543536
6,4505,0.8786498653728193
7,2365,8.84361015998307
8,3762,3.6348477846272864
9,349,8.61051468561389
10,7282,8.689667067635696
11,1473,4.319541775847488
12,332,8.903455139608468
13,576,5.892072468020087
14,5555,6.5178311098941215
15,802,8.67055561280382
16,1428,6.605457854323343
17,9904,8.869841220199097
18,6388,6.56650091943485
19,2780,8.161749498393652
20,6992,9.621304227402431
21,9666,9.704171801919754
22,8644,5.5970680197617035
23,8771,6.5983690718771815
24,6729,9.714203410486329
25,8161,3.1296253866837005
26,7096,8.694731194213771
27,1110,8.888614098448361
28,5102,4.972039195318109
29,9682,4.001233796879562
30,6098,8.135152933315533
31,9083,3.880545906844914
32,1396,8.718675301199713
33,5819,3.002733561976595
34,1587,9.086217993887397
35,4244,5.1486210043959
36,6020,6.065931903869793
37,8851,3.6329707762611556
38,817,7.044530109701986
39,6868,3.002158441581628
40,9363,8.63720846454565
41,7401,8.868105992790548
42,5383,8.949221238093838
43,2565,5.403202536838517
44,8688,3.266288234649843
45,947,6.626738536031409
46,6319,8.656876282152407
47,9156,6.2070583128441505
48,7231,8.89025896659777
49,4893,9.721633152182378
50,6192,3.0640729087832534
51,2419,5.176734282670691
52,3128,9.053197823615886
53,5085,8.677040174558083
54,9928,5.262969778764197
55,1836,1.8873925463015722
56,5727,9.725032695761598
57,8600,5.467805515752846
58,9735,6.051299185984096
59,7750,7.037763211863689
60,3073,5.993433941637943
61,4407,5.91137940351926
62,785,2.529639967997555
63,5514,9.095432909567856
64,5811,4.5505211289696605
65,1527,3.098257735569338
66,2098,6.483667042473922
67,1874,5.666508887197129
68,1275,8.879085117052039
69,3219,4.1832022341614366
70,4222,7.055128233862613
71,4278,6.055781755954575
72,3643,4.710404846846051
73,338,4.580064836177329
74,3520,7.579650511640632
75,8774,6.087638062180707
76,8401,5.793030376784614
77,7488,9.033502697699554
78,3278,9.74111825663041
79,5062,4.032094214929588
80,5727,9.725032695761598
81,8781,2.8517745451918968
82,3007,4.4561928168902245
83,1597,4.12004008977436
84,6763,6.112658460008732
85,2711,7.130055097312939
86,6572,5.35715014256955
87,3132,3.7504191378022735
88,5062,4.032094214929588
89,7689,7.839304453208765
90,9015,8.136056993369593
91,1919,8.889112906302845
92,1646,8.83636239591051
93,65,9.679066978982735
94,8239,6.05483134991537
95,1109,5.419942875669898
96,3186,9.713030846416252
97,2354,9.751949772541899
98,1406,8.71202088366791
99,5583,5.4221619794130715
100,3448,8.91446349900776
