Run,Seed,Final Score
1,8090,9.722291609077349
2,831,2.383384248389517
3,406,9.793898833379714
4,4205,9.089303278719004
5,2683,7.215619431538526
6,3046,5.062159354777652
7,4463,8.663579136915713
8,3315,7.586778566480148
9,6526,3.347659176177495
10,9460,8.156016252700649
11,7504,8.818480254773908
12,2750,8.739890995317968
13,806,9.691299417477264
14,8129,5.493310139441126
15,9880,7.079788006341738
16,5176,1.7618801672494975
17,8133,7.236892220036596
18,3767,6.075703485448233
19,4897,8.964511818227232
20,642,7.2656425063373895
21,7485,4.276563829212448
22,7007,8.829596477322045
23,997,8.53362826885183
24,1571,2.2364681074581467
25,7094,6.04335861275668
26,1212,9.071914586017014
27,7423,9.674346462174972
28,5505,8.705482394616505
29,1183,9.034642084586375
30,7172,4.860366442257545
31,1458,4.40487641273147
32,3739,7.50912534755924
33,4853,8.567677977055293
34,7602,7.034511647836088
35,7165,8.663609360877375
36,5452,9.737244071061488
37,9813,4.945879784649469
38,7021,6.808330593898222
39,7193,6.058233837210178
40,5440,6.087734008231984
41,4177,7.24335137795536
42,4918,9.030088811375222
43,103,9.827456688476255
44,6595,4.84823344850702
45,3939,9.136434093435392
46,1636,6.130368486045434
47,7516,5.946999828870557
48,8190,7.549665801578378
49,3813,7.034008719271677
50,7807,5.633851180804341
51,6138,3.833725097182219
52,7073,5.726985546528372
53,2893,6.035216470355261
54,5534,8.887661847202304
55,6382,8.922329782616043
56,5167,8.887521039251462
57,1593,6.097411993563943
58,4914,8.148814003342288
59,7548,8.689422708287038
60,6988,4.5755949838971555
61,7630,6.05124068526308
62,6415,5.335805407472991
63,4666,5.625363516399398
64,7176,6.427989793778336
65,6432,5.704808958655709
66,5485,6.462034664771186
67,9118,8.774663242664536
68,5320,3.104401312777207
69,5264,6.0622449896016715
70,9714,8.883649372377239
71,1528,0.11809256241516941
72,9433,8.914146135549629
73,6009,2.499161815310195
74,3582,7.7774766226655405
75,111,8.627824702172411
76,6131,8.837484147356339
77,2041,4.438772058814314
78,8004,6.118874997418845
79,9133,4.152533747308251
80,9343,8.716324295203329
81,2272,5.811341514440507
82,1579,7.004506143826134
83,6202,8.70778495580594
84,7289,9.666100819636563
85,3066,8.888168515034401
86,6280,8.74837480872803
87,6889,5.920254584520004
88,6787,7.03488404406862
89,1997,6.665609139417855
90,1097,7.289860482095723
91,8789,4.656127151056971
92,4015,5.198124280947935
93,5393,4.707922377203292
94,1474,8.671215536038728
95,7977,7.714505000567527
96,4778,9.726997663418382
97,8562,1.5982819398979988
98,4471,8.903333224810392
99,3202,8.79513783948265
100,9417,5.693215000974745
