Run,Seed,Final Score
1,4151,9.747613330010513
2,179,9.39489577189419
3,5613,1.8008964545248694
4,6839,3.8088649317503553
5,2127,8.678598198217987
6,4007,6.5798951871647935
7,42,2.373889892587883
8,1649,8.788621124821628
9,2636,6.533018887934491
10,4205,8.837867379129971
11,5445,8.896388304175924
12,699,3.154421728528151
13,4263,8.859854276113639
14,2046,9.715667101982913
15,1468,9.371075636049277
16,5742,8.928810680199948
17,5020,5.8504070491145965
18,6233,2.089039930460853
19,4550,8.87547116193623
20,1011,4.751107425362382
21,4800,8.8987578537879
22,4319,8.674405214716998
23,3367,8.86477423414312
24,5569,9.67248210219961
25,7650,5.673511694004807
26,4586,5.240916398084354
27,2134,9.722222838822999
28,221,9.21722644312873
29,899,5.802685956409568
30,6112,6.261755955954832
31,3983,3.7533262063387376
32,2785,5.869936300128815
33,4597,7.449841195836169
34,1820,8.220884742517427
35,5239,8.926408699520765
36,5144,9.750250902598088
37,3221,7.2823081785473835
38,3303,4.4695557647707975
39,9252,2.176938132164447
40,4190,2.1710268828891457
41,953,8.86010594441315
42,6264,6.544149425089648
43,312,5.581251629584225
44,1930,3.8872126314291817
45,6327,9.103092113544026
46,1329,5.331876269275089
47,6161,3.1536715722691806
48,536,6.690724343892461
49,9259,4.033707944927179
50,6917,6.296531561710637
51,8977,6.962376188300769
52,9944,8.838391933776153
53,70,8.854532237081985
54,2170,8.852063636811875
55,4782,8.852670696752375
56,2697,7.5821411840579955
57,5238,8.859700313571068
58,6787,7.087198185735572
59,3561,7.148646547304843
60,4084,9.078516613536058
61,1802,9.690184554603592
62,667,6.759941512079417
63,8527,6.828922018107113
64,136,6.204138277696164
65,8802,8.004830892462662
66,5136,8.703275730195616
67,3602,2.393169102574615
68,8760,6.976834444010897
69,9577,1.7346781182454891
70,1605,4.965143130194812
71,4597,7.449841195836169
72,6566,8.851285221999483
73,2658,7.035734107440961
74,2630,9.686695342728754
75,4873,4.150566661615727
76,3726,5.361208271699274
77,3396,6.998181644808329
78,2937,6.056156992292726
79,8811,9.743780214300534
80,1923,3.604633782138352
81,1284,3.367852601912049
82,7081,8.761145895368491
83,6009,4.495433574485316
84,8170,5.363710953538256
85,4054,5.128047751574327
86,9585,9.7222140319046
87,4024,8.921599164177147
88,456,4.832713156308815
89,723,6.075996900078701
90,1483,6.993338352860004
91,7639,5.101830329542661
92,2812,6.792137603752575
93,7898,9.753810914756297
94,166,2.0126198563938007
95,609,8.856958737166028
96,2188,6.446524685939067
97,2758,6.446856851226781
98,8793,8.884936390505374
99,2517,1.703994518217427
100,272,5.546678231822706
