Run,Seed,Final Score
1,7489,9.074401077355926
2,6652,1.6166979009803524
3,7953,6.513392155639357
4,8820,7.422274894119805
5,2599,9.592296288050205
6,5321,8.891789600874757
7,6600,9.719587737213201
8,6612,5.5314518247619135
9,2592,9.064107738014986
10,2236,9.69026256676797
11,2671,8.930627573845847
12,9565,7.263456594388971
13,3935,3.8324033139344444
14,3298,6.056208858289009
15,8750,4.9244303777172425
16,6602,7.251501916146376
17,6008,2.0066076638436785
18,6488,7.541884280114344
19,6412,9.68593678890016
20,9351,5.241659080553687
21,9715,6.065268842758464
22,2290,2.1441063590692195
23,9538,8.679865801110111
24,7939,7.159232389039517
25,7090,9.178412391481714
26,2702,7.388068278450865
27,848,6.523737621464759
28,420,4.718473333181146
29,353,6.555315549593082
30,5862,9.083774205178253
31,3169,8.871957806293985
32,2014,4.669875455562914
33,6642,7.2395916825652264
34,1688,5.722426440900844
35,5152,7.224009741268148
36,7217,7.00397287416899
37,2118,5.468649008741156
38,8310,6.562236946129033
39,4022,5.393849039167492
40,8390,6.470654355813398
41,5803,6.087630536106664
42,2380,9.038040758602058
43,7691,3.7797560122983
44,919,7.507036605957936
45,857,7.258124328499508
46,7684,8.669626208511353
47,6808,6.992574812434111
48,9201,6.286533119035175
49,2747,6.502460904323108
50,7724,6.266301907490389
51,638,9.340513712326233
52,314,5.9013665152732875
53,8909,6.110948024363887
54,5170,8.791446727993359
55,5625,4.273575524179459
56,1602,9.689046939650733
57,5065,9.052169412207387
58,2628,6.228181685587445
59,705,9.709341957369627
60,908,9.050397136017605
61,641,4.43401291817216
62,8218,3.6526282864544983
63,838,6.987285470107176
64,6745,7.435352302884734
65,1052,8.863117197516573
66,7201,9.6440314314058
67,4490,3.8433617882703226
68,9305,2.933166601603576
69,97,6.052071822407724
70,6198,8.13147071678214
71,6108,4.463742683435534
72,192,4.974897261202941
73,4965,5.895999537504909
74,8198,4.857148779586112
75,391,8.900300193075545
76,6266,4.602649904217194
77,1108,7.49542159774983
78,3640,9.172957884631266
79,7071,3.5516993472334035
80,2078,8.897717745723245
81,4577,6.7760172246314045
82,4071,6.98989455769591
83,1927,9.304384387053886
84,6292,7.0591161545522105
85,7822,8.434611454133112
86,4929,7.014388795276229
87,1250,4.088482200346407
88,2726,4.715840983051024
89,8250,9.463400391682608
90,9297,6.137532601976412
91,9760,8.716936558566472
92,9719,5.2179547570620874
93,1086,8.941772062390797
94,6588,5.318891248801872
95,7477,4.987349824419331
96,151,2.494387678694026
97,4294,8.66835145166535
98,5694,5.350958515966279
99,9592,9.65505063193466
100,5186,6.515484612501835
