Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
1,4648,300,19.80804,2,96,0.0033503
1,4648,600,22.1836,2,93,0.0033503
1,4648,900,21.08658,2,89,0.0033503
1,4648,1200,21.09977,2,86,0.0033503
1,4648,1500,20.02251,2,83,0.0048591
1,4648,1800,19.00166,3,80,0.0048591
1,4648,2100,19.99968,3,77,0.0048591
1,4648,2400,23.75378,3,74,0.05483
1,4648,2700,16.22841,3,71,0.05483
1,4648,3000,18.80089,3,69,0.05483
1,4648,3300,19.75311,3,66,0.05483
1,4648,3600,18.93708,3,64,0.05483
1,4648,3900,19.06971,3,61,0.05483
1,4648,4200,21.65342,3,59,0.05483
1,4648,4500,13.56292,4,57,0.05483
1,4648,4800,16.92634,4,55,0.05483
1,4648,5100,7.42373,4,53,1.05658
1,4648,5400,4.91147,4,51,2.49656
1,4648,5700,3.19077,4,49,2.6417
1,4648,6000,3.10787,4,47,2.65396
1,4648,6300,3.01511,4,46,2.71309
1,4648,6600,2.90869,5,44,2.80274
1,4648,6900,2.9023,5,42,2.94326
1,4648,7200,2.91015,5,41,3.00878
1,4648,7500,2.94967,5,39,3.26739
1,4648,7800,2.76316,5,38,3.44727
1,4648,8100,2.77234,6,36,3.63573
1,4648,8400,2.63033,6,35,3.63573
1,4648,8700,2.59428,6,34,3.67282
1,4648,9000,2.6371,6,32,3.68128
1,4648,9300,2.63366,6,31,3.68128
1,4648,9600,2.60264,7,30,3.68128
1,4648,9900,2.65523,7,29,3.68128
1,4648,10200,2.63508,7,28,3.7056
1,4648,10500,2.68974,7,27,3.70852
1,4648,10800,2.65983,8,26,3.70852
1,4648,11100,2.58892,8,25,3.71839
1,4648,11400,2.63286,8,24,3.71839
1,4648,11700,2.61022,9,23,3.71839
1,4648,12000,2.65282,9,22,3.72734
1,4648,12300,2.63723,9,21,3.72734
1,4648,12600,2.62153,10,21,3.72734
1,4648,12900,2.63682,10,20,3.73624
1,4648,13200,2.63303,10,19,3.73624
1,4648,13500,2.59948,11,18,3.73624
1,4648,13800,2.6235,11,18,3.73624
1,4648,14100,2.60021,12,17,3.73624
1,4648,14400,2.60981,12,17,3.73624
1,4648,14700,2.63502,13,16,3.73624
1,4648,15000,2.66971,13,15,3.75735
1,4648,15300,2.62781,14,15,3.75735
2,1835,300,26.2213,2,96,1.9042E-4
2,1835,600,24.56213,2,93,0.010598
2,1835,900,21.2418,2,89,0.010598
2,1835,1200,19.86314,2,86,0.010598
2,1835,1500,21.14521,2,83,0.010598
2,1835,1800,14.49808,3,80,0.010598
2,1835,2100,19.2591,3,77,0.010598
2,1835,2400,12.56358,3,74,0.010598
2,1835,2700,18.25419,3,71,0.010598
2,1835,3000,11.52784,3,69,0.01621
2,1835,3300,12.8022,3,66,0.02203
2,1835,3600,9.68971,3,64,2.40738
2,1835,3900,1.82621,3,61,4.21352
2,1835,4200,1.82924,3,59,4.57578
2,1835,4500,1.8203,4,57,4.67513
2,1835,4800,0.0025458,4,55,4.88833
2,1835,5100,0.0038769,4,53,4.97344
2,1835,5400,0.0028811,4,51,5.4707
2,1835,5700,0.0043034,4,49,5.67741
2,1835,6000,0.0026126,4,47,6.5839
2,1835,6300,0.004626,4,46,6.9361
2,1835,6600,0.0048906,5,44,6.95221
2,1835,6900,0.0016925,5,42,7.2135
2,1835,7200,0.0038135,5,41,7.97291
2,1835,7500,0.0017425,5,39,8.77053
2,1835,7800,0.0017962,5,38,8.77053
2,1835,8100,0.001022,6,36,8.828
2,1835,8400,0.0014941,6,35,8.828
2,1835,8700,0.0013418,6,34,8.828
2,1835,9000,0.001132,6,32,8.828
2,1835,9300,0.0014531,6,31,8.828
2,1835,9600,0.001392,7,30,8.828
2,1835,9900,0.0013716,7,29,8.828
2,1835,10200,0.0014285,7,28,8.828
2,1835,10500,0.0010681,7,27,8.828
2,1835,10800,0.0014898,8,26,8.828
2,1835,11100,9.2526E-4,8,25,8.828
2,1835,11400,0.0019288,8,24,8.828
2,1835,11700,0.0018266,9,23,8.828
2,1835,12000,0.0013222,9,22,8.828
2,1835,12300,9.9545E-4,9,21,8.828
2,1835,12600,0.0011874,10,21,8.828
2,1835,12900,0.0014732,10,20,8.828
2,1835,13200,0.0033705,10,19,8.828
2,1835,13500,0.0010426,11,18,8.82844
2,1835,13800,0.0027894,11,18,8.82844
2,1835,14100,0.0028646,12,17,8.82844
2,1835,14400,0.001325,12,17,8.84203
2,1835,14700,0.002452,13,16,8.88426
2,1835,15000,0.0015794,13,15,8.88426
2,1835,15300,0.0017392,14,15,8.88426
3,9422,300,22.66876,2,96,0.0038788
3,9422,600,30.89277,2,93,0.0038788
3,9422,900,30.69893,2,89,0.0038788
3,9422,1200,22.74087,2,86,0.0038788
3,9422,1500,19.23291,2,83,0.0038788
3,9422,1800,18.00135,3,80,0.05783
3,9422,2100,12.5871,3,77,0.05783
3,9422,2400,19.17186,3,74,0.05783
3,9422,2700,18.89182,3,71,0.05783
3,9422,3000,19.712,3,69,0.05783
3,9422,3300,10.44626,3,66,0.05783
3,9422,3600,16.1036,3,64,0.05783
3,9422,3900,18.91075,3,61,0.05783
3,9422,4200,10.87579,3,59,0.05783
3,9422,4500,6.11466,4,57,0.43259
3,9422,4800,0.0021435,4,55,0.88687
3,9422,5100,0.0018144,4,53,0.91533
3,9422,5400,0.001574,4,51,0.91533
3,9422,5700,0.0014108,4,49,0.94454
3,9422,6000,9.8096E-4,4,47,0.94454
3,9422,6300,0.0015443,4,46,0.94454
3,9422,6600,0.0027217,5,44,0.97014
3,9422,6900,0.0010422,5,42,1.07366
3,9422,7200,0.0014173,5,41,1.11681
3,9422,7500,0.0018157,5,39,1.17986
3,9422,7800,9.5315E-4,5,38,1.2749
3,9422,8100,6.4216E-4,6,36,1.2749
3,9422,8400,7.1093E-4,6,35,1.34774
3,9422,8700,8.3885E-4,6,34,1.34774
3,9422,9000,8.0645E-4,6,32,1.34774
3,9422,9300,8.8241E-4,6,31,1.36203
3,9422,9600,5.4747E-4,7,30,1.36203
3,9422,9900,0.0013222,7,29,1.36203
3,9422,10200,9.0516E-4,7,28,1.36203
3,9422,10500,5.5536E-4,7,27,1.36203
3,9422,10800,8.2935E-4,8,26,1.36203
3,9422,11100,7.859E-4,8,25,1.36203
3,9422,11400,9.2252E-4,8,24,1.36203
3,9422,11700,0.0010711,9,23,1.36203
3,9422,12000,9.302E-4,9,22,1.36203
3,9422,12300,5.6381E-4,9,21,1.36203
3,9422,12600,4.1616E-4,10,21,1.36203
3,9422,12900,6.4097E-4,10,20,1.36203
3,9422,13200,8.1605E-4,10,19,1.36203
3,9422,13500,4.9619E-4,11,18,1.36203
3,9422,13800,6.1028E-4,11,18,1.36203
3,9422,14100,8.2997E-4,12,17,1.36203
3,9422,14400,6.3325E-4,12,17,1.36203
3,9422,14700,7.0609E-4,13,16,1.36203
3,9422,15000,8.7268E-4,13,15,1.36203
3,9422,15300,6.6631E-4,14,15,1.36203
4,8829,300,21.98075,2,96,0.0013097
4,8829,600,23.34643,2,93,0.0024345
4,8829,900,22.2242,2,89,0.0067007
4,8829,1200,26.1405,2,86,0.0067007
4,8829,1500,18.89035,2,83,0.0067007
4,8829,1800,16.10848,3,80,0.0067007
4,8829,2100,16.87755,3,77,0.0067007
4,8829,2400,13.39367,3,74,0.0067007
4,8829,2700,11.77476,3,71,0.0067007
