Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
1,8090,300,23.20098,2,96,0.001349
1,8090,600,21.80366,2,93,0.001349
1,8090,900,21.00256,2,89,0.0097561
1,8090,1200,20.78141,2,86,0.02216
1,8090,1500,19.24399,2,83,0.02899
1,8090,1800,27.79449,2,80,0.02899
1,8090,2100,19.23836,2,77,0.02899
1,8090,2400,20.51836,2,74,0.61417
1,8090,2700,20.69807,2,71,6.39627
1,8090,3000,11.42782,2,69,7.05214
1,8090,3300,11.40141,2,66,7.05214
1,8090,3600,2.40428,2,64,7.05214
1,8090,3900,2.44356,2,61,7.20866
1,8090,4200,2.22684,2,59,7.62691
1,8090,4500,2.09152,2,57,7.77063
1,8090,4800,2.06601,2,55,8.1952
1,8090,5100,2.08668,2,53,9.13559
1,8090,5400,2.08564,2,51,9.28092
1,8090,5700,2.10003,2,49,9.32263
1,8090,6000,2.04393,2,47,9.38298
1,8090,6300,1.97829,2,46,9.38298
1,8090,6600,1.97759,2,44,9.42659
1,8090,6900,1.92797,2,42,9.42659
1,8090,7200,1.88997,2,41,9.44289
1,8090,7500,1.89083,2,39,9.44289
1,8090,7800,1.90697,2,38,9.44289
1,8090,8100,1.91354,2,36,9.48837
1,8090,8400,1.85659,2,35,9.48837
1,8090,8700,1.81492,2,34,9.55601
1,8090,9000,1.77945,2,32,9.55601
1,8090,9300,1.75555,2,31,9.55601
1,8090,9600,1.73855,2,30,9.55601
1,8090,9900,1.68231,2,29,9.55601
1,8090,10200,1.67229,2,28,9.70356
1,8090,10500,1.67731,2,27,9.70356
1,8090,10800,1.71174,2,26,9.70356
1,8090,11100,1.66136,2,25,9.70356
1,8090,11400,1.60671,2,24,9.70356
1,8090,11700,1.62056,2,23,9.70356
1,8090,12000,1.61574,2,22,9.70356
1,8090,12300,1.62366,2,21,9.70356
1,8090,12600,1.64047,2,21,9.72229
1,8090,12900,1.62291,2,20,9.72229
1,8090,13200,1.5868,2,19,9.72229
1,8090,13500,1.59857,2,18,9.72229
1,8090,13800,1.60978,2,18,9.72229
1,8090,14100,1.59942,2,17,9.72229
1,8090,14400,1.61807,2,17,9.72229
1,8090,14700,1.60537,2,16,9.72229
1,8090,15000,1.62272,2,15,9.72229
1,8090,15300,1.61841,2,15,9.72229
2,831,300,22.93399,2,96,3.065E-4
2,831,600,32.94747,2,93,0.0015385
2,831,900,22.59303,2,89,0.0015385
2,831,1200,23.19854,2,86,0.002652
2,831,1500,19.79484,2,83,0.002652
2,831,1800,27.15171,2,80,0.002652
2,831,2100,20.15771,2,77,0.002652
2,831,2400,13.41338,2,74,0.010099
2,831,2700,17.10014,2,71,0.010099
2,831,3000,16.17866,2,69,0.010099
2,831,3300,22.46998,2,66,0.50305
2,831,3600,14.11578,2,64,2.12184
2,831,3900,14.0602,2,61,2.28601
2,831,4200,11.86928,2,59,2.28601
2,831,4500,12.37229,2,57,2.31515
2,831,4800,11.19238,2,55,2.31515
2,831,5100,11.54487,2,53,2.3156
2,831,5400,11.4838,2,51,2.3156
2,831,5700,11.28654,2,49,2.3156
2,831,6000,9.57944,2,47,2.3156
2,831,6300,10.41738,2,46,2.3156
2,831,6600,10.89077,2,44,2.3156
