Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
1,4151,300,31.18236,2,100,2.6008E-4
1,4151,600,26.54208,2,100,0.015818
1,4151,900,29.40986,2,100,0.015818
1,4151,1200,22.26586,2,100,0.015818
1,4151,1500,30.29902,2,100,0.015818
1,4151,1800,24.5059,3,100,0.015818
1,4151,2100,25.32399,3,100,0.015818
1,4151,2400,21.31975,3,100,0.06022
1,4151,2700,24.77462,3,100,0.06022
1,4151,3000,18.72593,3,100,0.06022
1,4151,3300,18.71191,3,100,0.06022
1,4151,3600,18.83378,3,100,0.06022
1,4151,3900,19.71531,3,100,0.06022
1,4151,4200,15.88769,3,100,0.06022
1,4151,4500,18.23014,4,100,0.06022
1,4151,4800,17.21731,4,100,0.06022
1,4151,5100,21.30362,4,100,0.06022
1,4151,5400,23.02235,4,100,0.06022
1,4151,5700,17.5064,4,100,0.06022
1,4151,6000,23.05924,4,100,0.06022
1,4151,6300,24.48936,4,100,4.18299
1,4151,6600,0.0086976,5,100,9.30053
1,4151,6900,0.0095579,5,100,9.31049
1,4151,7200,0.0071194,5,100,9.31189
1,4151,7500,0.0090549,5,100,9.40717
1,4151,7800,0.0083766,5,100,9.40717
1,4151,8100,0.0027186,6,100,9.42928
1,4151,8400,0.0033513,6,100,9.50169
1,4151,8700,0.0059377,6,100,9.53041
1,4151,9000,0.0025347,6,100,9.53041
1,4151,9300,0.0047174,6,100,9.58445
1,4151,9600,0.0021895,7,100,9.74761
1,4151,9900,0.0019841,7,100,9.74761
1,4151,10200,0.0025409,7,100,9.74761
1,4151,10500,0.0027236,7,100,9.74761
1,4151,10800,0.0021649,8,100,9.74761
1,4151,11100,0.0012068,8,100,9.74761
1,4151,11400,0.002353,8,100,9.74761
1,4151,11700,0.0037408,9,100,9.74761
1,4151,12000,0.0038956,9,100,9.74761
1,4151,12300,0.0033493,9,100,9.74761
1,4151,12600,0.0027813,10,100,9.74761
1,4151,12900,0.0021064,10,100,9.74761
1,4151,13200,0.0022653,10,100,9.74761
1,4151,13500,0.0026572,11,100,9.74761
1,4151,13800,0.0024217,11,100,9.74761
1,4151,14100,0.0026639,12,100,9.74761
1,4151,14400,0.0021042,12,100,9.74761
1,4151,14700,0.0019713,13,100,9.74761
1,4151,15000,0.0019476,13,100,9.74761
1,4151,15300,0.0025015,14,100,9.74761
2,179,300,25.31715,2,100,4.0141E-4
2,179,600,28.6035,2,100,0.0048985
2,179,900,18.53497,2,100,0.0048985
2,179,1200,19.95632,2,100,0.0048985
2,179,1500,22.63317,2,100,0.0048985
2,179,1800,23.21436,3,100,0.0069733
2,179,2100,27.40517,3,100,0.0069733
2,179,2400,24.33817,3,100,0.0069733
2,179,2700,21.52925,3,100,3.35879
2,179,3000,16.5233,3,100,8.84552
2,179,3300,0.0029542,3,100,9.00394
2,179,3600,0.0035355,3,100,9.04305
2,179,3900,0.0030475,3,100,9.04305
