Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
1,4972,300,25.78894,2,100,0.011346
1,4972,600,25.25802,2,100,0.011346
1,4972,900,22.9927,2,100,0.011346
1,4972,1200,33.42063,2,100,0.011346
1,4972,1500,27.97418,2,100,0.011346
1,4972,1800,26.23226,2,100,0.011346
1,4972,2100,25.63781,2,100,0.17493
1,4972,2400,24.28463,2,100,0.17493
1,4972,2700,23.17236,2,100,0.17493
1,4972,3000,24.29746,2,100,0.17493
1,4972,3300,19.21963,2,100,0.17493
1,4972,3600,23.71293,2,100,0.57153
1,4972,3900,20.96033,2,100,1.87787
1,4972,4200,23.04666,2,100,2.13367
1,4972,4500,27.74641,2,100,2.22581
1,4972,4800,25.46778,2,100,3.06163
1,4972,5100,24.19485,2,100,3.44177
1,4972,5400,25.4884,2,100,3.44177
1,4972,5700,26.00468,2,100,3.44177
1,4972,6000,21.68757,2,100,3.44177
1,4972,6300,19.97538,2,100,3.44177
1,4972,6600,25.36511,2,100,5.08175
1,4972,6900,23.3419,2,100,6.96403
1,4972,7200,22.65105,2,100,7.32644
1,4972,7500,22.6951,2,100,7.38459
1,4972,7800,21.32541,2,100,7.38459
1,4972,8100,21.82386,2,100,7.40955
1,4972,8400,24.39345,2,100,7.68281
1,4972,8700,20.68098,2,100,7.7392
1,4972,9000,21.14051,2,100,8.55551
1,4972,9300,22.25432,2,100,8.55551
1,4972,9600,20.86769,2,100,8.55551
1,4972,9900,19.48659,2,100,8.55551
1,4972,10200,22.47714,2,100,8.55551
1,4972,10500,21.87016,2,100,8.59179
1,4972,10800,22.42351,2,100,8.59179
1,4972,11100,22.17535,2,100,8.59179
1,4972,11400,21.51195,2,100,8.59179
1,4972,11700,22.37685,2,100,8.59179
1,4972,12000,21.7541,2,100,8.59179
1,4972,12300,22.36177,2,100,8.59179
1,4972,12600,22.14608,2,100,8.59179
1,4972,12900,22.35219,2,100,8.64611
1,4972,13200,22.07029,2,100,8.6551
1,4972,13500,22.24894,2,100,8.6551
1,4972,13800,22.2984,2,100,8.6551
1,4972,14100,22.21344,2,100,8.6551
1,4972,14400,22.005,2,100,8.6551
1,4972,14700,21.53572,2,100,8.6551
1,4972,15000,20.99324,2,100,8.6551
1,4972,15300,21.02554,2,100,8.6551
2,9365,300,25.41122,2,100,0.013613
2,9365,600,25.13705,2,100,0.013613
2,9365,900,26.16408,2,100,0.02402
2,9365,1200,26.32861,2,100,0.02402
2,9365,1500,20.01249,2,100,0.02402
2,9365,1800,13.96868,2,100,0.02402
2,9365,2100,13.36338,2,100,0.02402
2,9365,2400,25.33747,2,100,0.06426
2,9365,2700,24.8787,2,100,0.51666
2,9365,3000,23.61964,2,100,2.64433
2,9365,3300,20.13173,2,100,3.11852
2,9365,3600,20.8773,2,100,3.11852
2,9365,3900,22.87351,2,100,3.13194
2,9365,4200,23.50837,2,100,3.13194
2,9365,4500,23.03171,2,100,3.58314
2,9365,4800,21.57558,2,100,4.47411
2,9365,5100,22.86402,2,100,4.55106
2,9365,5400,20.95708,2,100,4.58014
2,9365,5700,20.55844,2,100,4.58014
2,9365,6000,19.24868,2,100,5.07995
2,9365,6300,19.98651,2,100,5.25144
2,9365,6600,22.67868,2,100,5.25144
2,9365,6900,22.02922,2,100,5.35421
2,9365,7200,21.81502,2,100,5.65762
2,9365,7500,21.84754,2,100,5.84579
2,9365,7800,21.7775,2,100,6.77405
2,9365,8100,21.77297,2,100,7.52449
2,9365,8400,21.7198,2,100,7.95819
2,9365,8700,21.71177,2,100,8.00774
2,9365,9000,21.66686,2,100,8.20821
2,9365,9300,21.65019,2,100,8.3101
2,9365,9600,21.61368,2,100,8.63399
2,9365,9900,21.58761,2,100,9.07702
2,9365,10200,21.58424,2,100,9.24523
2,9365,10500,21.5854,2,100,9.26657
2,9365,10800,21.59516,2,100,9.26657
2,9365,11100,21.58579,2,100,9.26657
2,9365,11400,21.58477,2,100,9.28501
2,9365,11700,21.57893,2,100,9.28501
2,9365,12000,21.58061,2,100,9.30141
2,9365,12300,21.56789,2,100,9.30141
2,9365,12600,21.57681,2,100,9.37781
2,9365,12900,21.56648,2,100,9.37781
2,9365,13200,21.56948,2,100,9.4399
