Run,Seed,Generation,Diversity,Migrants,Epoch Size,Best Score
1,7489,300,21.23541,5,100,0.0022014
1,7489,600,16.31767,5,100,0.0022014
1,7489,900,13.90018,5,100,0.0022014
1,7489,1200,15.51036,5,100,0.0022014
1,7489,1500,9.28632,5,100,6.68604
1,7489,1800,0.0020033,5,100,7.35254
1,7489,2100,0.0033007,5,100,7.35254
1,7489,2400,0.0030781,5,100,7.40234
1,7489,2700,0.0046738,5,100,7.40234
1,7489,3000,0.0058981,5,100,7.63129
1,7489,3300,0.005599,5,100,7.63129
1,7489,3600,0.0031591,5,100,7.63129
1,7489,3900,0.0029105,5,100,7.63129
1,7489,4200,0.0037223,5,100,7.63129
1,7489,4500,0.0029892,5,100,7.63434
1,7489,4800,0.0054645,5,100,7.7573
1,7489,5100,0.0029266,5,100,8.11401
1,7489,5400,0.0013262,5,100,8.67387
1,7489,5700,8.9749E-4,5,100,8.75149
1,7489,6000,0.0017072,5,100,8.81685
1,7489,6300,0.001755,5,100,8.81685
1,7489,6600,0.0027358,5,100,8.81685
1,7489,6900,0.0026873,5,100,8.92871
1,7489,7200,0.0032731,5,100,8.92871
1,7489,7500,0.0022614,5,100,8.92871
1,7489,7800,0.0018173,5,100,8.92871
1,7489,8100,0.0016131,5,100,8.92871
1,7489,8400,0.001777,5,100,8.92871
1,7489,8700,0.0023698,5,100,8.92871
1,7489,9000,0.002408,5,100,8.92871
1,7489,9300,0.0016421,5,100,8.92871
1,7489,9600,0.0013068,5,100,8.92871
1,7489,9900,0.0016312,5,100,8.92871
1,7489,10200,0.0022531,5,100,8.94511
1,7489,10500,0.0018356,5,100,8.94511
1,7489,10800,0.0015092,5,100,8.94511
1,7489,11100,0.0013316,5,100,8.94511
1,7489,11400,0.0015982,5,100,8.94511
1,7489,11700,0.0026284,5,100,8.94511
1,7489,12000,0.0034875,5,100,8.94511
1,7489,12300,0.0040507,5,100,8.94511
1,7489,12600,0.0018681,5,100,8.96656
1,7489,12900,0.0013215,5,100,8.97236
1,7489,13200,0.0020429,5,100,8.97236
1,7489,13500,0.0025087,5,100,8.97236
1,7489,13800,0.0020998,5,100,9.0744
1,7489,14100,0.0015685,5,100,9.0744
1,7489,14400,0.0020994,5,100,9.0744
1,7489,14700,0.0019339,5,100,9.0744
1,7489,15000,0.0029308,5,100,9.0744
1,7489,15300,0.002284,5,100,9.0744
2,6652,300,27.81682,5,100,0.0017425
2,6652,600,21.59026,5,100,0.02304
2,6652,900,19.69849,5,100,0.02304
2,6652,1200,23.4796,5,100,0.02304
2,6652,1500,19.45906,5,100,0.02304
2,6652,1800,19.83802,5,100,0.02304
2,6652,2100,17.94463,5,100,0.47311
2,6652,2400,0.0070393,5,100,1.21548
2,6652,2700,0.0063762,5,100,1.28045
2,6652,3000,0.0093461,5,100,1.32102
2,6652,3300,0.0044373,5,100,1.47585
2,6652,3600,0.0036189,5,100,1.4923
2,6652,3900,0.0024679,5,100,1.53181
2,6652,4200,0.004906,5,100,1.53181
2,6652,4500,0.0056975,5,100,1.53181
2,6652,4800,0.0077408,5,100,1.53181
2,6652,5100,0.0051655,5,100,1.53181
2,6652,5400,0.0067353,5,100,1.55074
2,6652,5700,0.0040016,5,100,1.56136
2,6652,6000,0.001864,5,100,1.56632
2,6652,6300,0.0022415,5,100,1.58903
2,6652,6600,0.0021882,5,100,1.58903
2,6652,6900,0.0032409,5,100,1.58903
2,6652,7200,0.0010487,5,100,1.58903
2,6652,7500,0.0032359,5,100,1.58903
2,6652,7800,0.0034471,5,100,1.58903
2,6652,8100,0.0031439,5,100,1.58903
2,6652,8400,0.0018707,5,100,1.58903
2,6652,8700,0.002524,5,100,1.58903
2,6652,9000,0.0014397,5,100,1.58903
2,6652,9300,0.003179,5,100,1.59615
2,6652,9600,0.0031278,5,100,1.59615
2,6652,9900,0.0023001,5,100,1.59615
2,6652,10200,0.0019836,5,100,1.59615
2,6652,10500,0.0022958,5,100,1.59615
2,6652,10800,0.0035901,5,100,1.59615
2,6652,11100,0.0019306,5,100,1.59615
2,6652,11400,0.0032809,5,100,1.59615
2,6652,11700,0.0033861,5,100,1.59615
2,6652,12000,0.0039543,5,100,1.59615
2,6652,12300,0.0020182,5,100,1.59615
2,6652,12600,0.0021733,5,100,1.59615
2,6652,12900,0.0025324,5,100,1.59615
2,6652,13200,0.0029089,5,100,1.6167
2,6652,13500,0.0031912,5,100,1.6167
2,6652,13800,0.0030308,5,100,1.6167
2,6652,14100,0.0053344,5,100,1.6167
2,6652,14400,0.0055355,5,100,1.6167
2,6652,14700,0.0053396,5,100,1.6167
2,6652,15000,0.004315,5,100,1.6167
2,6652,15300,0.0032581,5,100,1.6167
3,7953,300,26.73271,5,100,0.0015327
3,7953,600,28.77133,5,100,0.0061886
3,7953,900,18.31373,5,100,0.011045
3,7953,1200,22.98336,5,100,0.03195
3,7953,1500,20.55364,5,100,0.06558
3,7953,1800,17.50403,5,100,0.06558
3,7953,2100,18.6701,5,100,0.06558
3,7953,2400,25.71632,5,100,0.06558
3,7953,2700,29.13818,5,100,0.06558
3,7953,3000,24.2139,5,100,0.06558
3,7953,3300,24.50312,5,100,0.06558
3,7953,3600,13.43299,5,100,0.10177
3,7953,3900,7.34723,5,100,5.6695
3,7953,4200,0.0064736,5,100,6.23664
3,7953,4500,0.0034076,5,100,6.29215
3,7953,4800,0.00445,5,100,6.3435
3,7953,5100,0.0045103,5,100,6.41064
3,7953,5400,0.0022516,5,100,6.41064
3,7953,5700,0.0039156,5,100,6.41064
3,7953,6000,0.0027281,5,100,6.4704
3,7953,6300,0.0033466,5,100,6.4704
3,7953,6600,0.0024001,5,100,6.4704
3,7953,6900,0.0025315,5,100,6.4704
3,7953,7200,0.0038643,5,100,6.4704
3,7953,7500,0.0033256,5,100,6.4704
3,7953,7800,0.0032137,5,100,6.4704
3,7953,8100,0.0045704,5,100,6.4704
3,7953,8400,0.0029077,5,100,6.48568
3,7953,8700,0.0037569,5,100,6.51339
3,7953,9000,0.0026439,5,100,6.51339
3,7953,9300,0.0028635,5,100,6.51339
3,7953,9600,0.0043935,5,100,6.51339
